kappa,act_disclosure,act_no_disclosure
0.0500000000,0.0017854977,0.0017995247
0.0764705882,0.0018327371,0.0018539433
0.1029411765,0.0018791909,0.0019074166
0.1294117647,0.0019248069,0.0019599022
0.1558823529,0.0019695317,0.0020113573
0.1823529412,0.0020133106,0.0020617387
0.2088235294,0.0020560880,0.0021110033
0.2352941176,0.0020978074,0.0021591084
0.2617647059,0.0021384115,0.0022060114
0.2882352941,0.0021778430,0.0022516708
0.3147058824,0.0022160440,0.0022960462
0.3411764706,0.0022529570,0.0023390986
0.3676470588,0.0022885248,0.0023807907
0.3941176471,0.0023226906,0.0024210872
0.4205882353,0.0023553986,0.0024599554
0.4470588235,0.0023865940,0.0024973652
0.4735294118,0.0024162234,0.0025332895
0.5000000000,0.0024442348,0.0025677046
0.5264705882,0.0024705779,0.0026005902
0.5529411765,0.0024952041,0.0026319298
0.5794117647,0.0025180668,0.0026617108
0.6058823529,0.0025391213,0.0026899246
0.6323529412,0.0025583246,0.0027165667
0.6588235294,0.0025756356,0.0027416364
0.6852941176,0.0025910147,0.0027651371
0.7117647059,0.0026044234,0.0027870755
0.7382352941,0.0026158242,0.0028074619
0.7647058824,0.0026251797,0.0028263089
0.7911764706,0.0026324522,0.0028436317
0.8176470588,0.0026376030,0.0028594467
0.8441176471,0.0026405910,0.0028737705
0.8705882353,0.0026413719,0.0028866194
0.8970588235,0.0026398969,0.0028980075
0.9235294118,0.0026361110,0.0029079454
0.9500000000,0.0026299516,0.0029164387
