kappa,s_xi,delta_min
0.2500000000,0.1000000000,0.0075428352
0.2800000000,0.1000000000,0.0077352126
0.3100000000,0.1000000000,0.0079020656
0.3400000000,0.1000000000,0.0080465890
0.3700000000,0.1000000000,0.0081711830
0.4000000000,0.1000000000,0.0082775941
0.4300000000,0.1000000000,0.0083670512
0.4600000000,0.1000000000,0.0084404140
0.4900000000,0.1000000000,0.0084983398
0.5200000000,0.1000000000,0.0085414607
0.5500000000,0.1000000000,0.0085705507
0.5800000000,0.1000000000,0.0085866546
0.6100000000,0.1000000000,0.0085911510
0.6400000000,0.1000000000,0.0085857311
0.6700000000,0.1000000000,0.0085722942
0.7000000000,0.1000000000,0.0085527837
0.7300000000,0.1000000000,0.0085289986
0.7600000000,0.1000000000,0.0085024234
0.7900000000,0.1000000000,0.0084741169
0.8200000000,0.1000000000,0.0084446626
0.8500000000,0.1000000000,0.0084142059
0.2500000000,0.1200000000,0.0082967493
0.2800000000,0.1200000000,0.0084293565
0.3100000000,0.1200000000,0.0085393102
0.3400000000,0.1200000000,0.0086288831
0.3700000000,0.1200000000,0.0086997387
0.4000000000,0.1200000000,0.0087530966
0.4300000000,0.1200000000,0.0087898891
0.4600000000,0.1200000000,0.0088109178
0.4900000000,0.1200000000,0.0088170071
0.5200000000,0.1200000000,0.0088091446
0.5500000000,0.1200000000,0.0087885889
0.5800000000,0.1200000000,0.0087569251
0.6100000000,0.1200000000,0.0087160527
0.6400000000,0.1200000000,0.0086681017
0.6700000000,0.1200000000,0.0086152890
0.7000000000,0.1200000000,0.0085597428
0.7300000000,0.1200000000,0.0085033266
0.7600000000,0.1200000000,0.0084475013
0.7900000000,0.1200000000,0.0083932543
0.8200000000,0.1200000000,0.0083410823
0.8500000000,0.1200000000,0.0082910590
0.2500000000,0.1500000000,0.0092605357
0.2800000000,0.1500000000,0.0093090078
0.3100000000,0.1500000000,0.0093397181
0.3400000000,0.1500000000,0.0093539617
0.3700000000,0.1500000000,0.0093526882
0.4000000000,0.1500000000,0.0093366529
0.4300000000,0.1500000000,0.0093065580
0.4600000000,0.1500000000,0.0092631837
0.4900000000,0.1500000000,0.0092075059
0.5200000000,0.1500000000,0.0091407872
0.5500000000,0.1500000000,0.0090646264
0.5800000000,0.1500000000,0.0089809546
0.6100000000,0.1500000000,0.0088919671
0.6400000000,0.1500000000,0.0087999994
0.6700000000,0.1500000000,0.0087073615
0.7000000000,0.1500000000,0.0086161607
0.7300000000,0.1500000000,0.0085281434
0.7600000000,0.1500000000,0.0084445840
0.7900000000,0.1500000000,0.0083662498
0.8200000000,0.1500000000,0.0082934138
0.8500000000,0.1500000000,0.0082259450
