kappa,W_min,W_bid,W_tot
0.2500000000,0.0092605357,0.0149583657,1.0660397080
0.2800000000,0.0093090078,0.0151868083,1.0715325950
0.3100000000,0.0093397181,0.0153932275,1.0767676971
0.3400000000,0.0093539617,0.0155849134,1.0817777669
0.3700000000,0.0093526882,0.0157671298,1.0865878648
0.4000000000,0.0093366529,0.0159435895,1.0912200055
0.4300000000,0.0093065580,0.0161167479,1.0956816633
0.4600000000,0.0092631837,0.0162879979,1.0999905034
0.4900000000,0.0092075059,0.0164578214,1.1041529652
0.5200000000,0.0091407872,0.0166259303,1.1081713845
0.5500000000,0.0090646264,0.0167914258,1.1120503311
0.5800000000,0.0089809546,0.0169529785,1.1157983916
0.6100000000,0.0088919671,0.0171090416,1.1194115862
0.6400000000,0.0087999994,0.0172580722,1.1228993306
0.6700000000,0.0087073615,0.0173987482,1.1262619161
0.7000000000,0.0086161607,0.0175301489,1.1295130583
0.7300000000,0.0085281434,0.0176518785,1.1326587292
0.7600000000,0.0084445840,0.0177641173,1.1357076789
0.7900000000,0.0083662498,0.0178675786,1.1386688488
0.8200000000,0.0082934138,0.0179634286,1.1415522835
0.8500000000,0.0082259450,0.0180531273,1.1443665588
