cik,name,event_date,form,accession,route,confirm_detail
0000010048,BARNWELL INDUSTRIES INC,2021-02-01,8-K,0001140361-21-002886,A,8k-text:merger:1;via-primary
0000022701,Pineapple Energy Inc.,2022-03-29,8-K,0000897101-22-000345,A,8k-text:merger:3;target:1;acquirer:2;defence:1;nonmerger:3;via-primary
0000022701,Pineapple Energy Inc.,2026-06-08,8-K,0001213900-26-066011,A,8k-text:merger:3;via-primary
0000026780,DANA INC,2026-06-11,8-K,0001193125-26-267630,A,8k-text:merger:4;target:3;acquirer:1;nonmerger:4;via-primary
0000034067,DMC Global Inc.,2024-06-06,8-K,0000034067-24-000103,A,8k-text:merger:1;target:1;acquirer:1;defence:1;via-primary
0000045919,HARTE HANKS INC,2026-08-19,8-K,0000045919-26-000009,A,8k-text:merger:3;target:2;acquirer:2;via-primary
0000055067,KELLANOVA,2024-08-14,8-K,0001193125-24-200233,A,8k-text:merger:3;target:2;acquirer:1;nonmerger:2;via-primary
0000055067,KELLANOVA,2025-03-12,8-K,0001193125-25-053048,A,8k-text:merger:3;target:2;acquirer:1;nonmerger:3;via-primary
0000055067,KELLANOVA,2025-12-11,8-K,0001193125-25-315130,A,8k-text:merger:3;target:2;acquirer:1;nonmerger:4;via-primary
0000061398,TELLURIAN INC. /DE/,2024-07-22,8-K,0001104659-24-081495,A,8k-text:merger:3;target:3;acquirer:1;nonmerger:3;via-primary
0000061398,TELLURIAN INC. /DE/,2024-10-09,8-K,0001104659-24-107216,A,8k-text:merger:3;target:2;acquirer:1;nonmerger:3;via-primary
0000072333,NORDSTROM INC,2024-12-23,8-K,0001213900-24-111520,A,8k-text:merger:3;target:3;acquirer:1;defence:2;nonmerger:2;via-primary
0000077159,Ranger Oil Corp,2021-07-13,8-K,0001193125-21-213258,A,8k-text:merger:3;via-primary
0000088000,Scott's Liquid Gold - Inc.,2024-05-15,8-K,0000950170-24-060571,A,8k-text:merger:3;via-primary
0000088000,Scott's Liquid Gold - Inc.,2024-08-07,8-K,0000950170-24-092922,A,8k-text:merger:3;via-primary
0000105319,"WW INTERNATIONAL, INC.",2023-04-14,8-K,0001193125-23-102041,A,8k-text:merger:3;via-primary
0000315131,PHX MINERALS INC.,2025-05-12,8-K,0001104659-25-047293,A,8k-text:merger:4;target:3;acquirer:1;via-primary
0000316253,ENZO BIOCHEM INC,2025-06-24,8-K,0001213900-25-056897,A,8k-text:merger:3;target:2;acquirer:1;via-primary
0000351789,ELECTRO SENSORS INC,2022-06-14,8-K,0000897101-22-000601,A,8k-text:merger:3;via-primary
0000351789,ELECTRO SENSORS INC,2023-01-31,8-K,0000897101-23-000052,A,8k-text:merger:3;via-primary
0000707179,OLD NATIONAL BANCORP /IN/,2024-11-25,8-K,0001104659-24-122326,A,8k-text:merger:3;target:1;acquirer:3;nonmerger:1;via-primary
0000712515,ELECTRONIC ARTS INC.,2025-09-29,8-K,0001140361-25-036415,A,8k-text:merger:3;target:3;acquirer:1;via-primary
0000712515,ELECTRONIC ARTS INC.,2026-08-04,8-K,0001140361-26-031157,A,8k-text:merger:3;target:2;acquirer:1;nonmerger:4;via-primary
0000714310,VALLEY NATIONAL BANCORP,2021-09-27,8-K,0001193125-21-282514,A,8k-text:merger:3;target:1;acquirer:1;defence:1;via-primary
0000717954,UNIFIRST CORP,2026-03-11,8-K,0001193125-26-101128,A,8k-text:merger:3;target:2;acquirer:1;via-primary
0000718937,STAAR SURGICAL CO,2025-11-07,8-K,0001193125-25-271708,A,8k-text:merger:3;via-primary
0000718937,STAAR SURGICAL CO,2025-12-09,8-K,0001193125-25-311982,A,8k-text:merger:3;via-primary
0000719274,GIGA TRONICS INC,2024-06-27,8-K,0000950170-24-078491,A,8k-text:merger:3;via-primary
0000719402,FIRST NATIONAL CORP /VA/,2021-07-01,8-K,0001437749-21-016156,A,8k-text:merger:3;via-primary
0000728387,"Perspective Therapeutics, Inc.",2022-10-24,8-K,0001437749-22-024622,A,8k-text:merger:2;via-primary
0000733590,TRANSCONTINENTAL REALTY INVESTORS INC,2024-12-16,SC TO-T,0001839882-24-045335,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0000740971,OLD POINT FINANCIAL CORP,2025-04-07,8-K,0001104659-25-032666,A,8k-text:merger:3;via-primary
0000740971,OLD POINT FINANCIAL CORP,2025-09-02,8-K,0001104659-25-086430,A,8k-text:merger:3;via-primary
0000744452,APPLIED DNA SCIENCES INC,2024-02-01,8-K,0001104659-24-008937,A,8k-text:merger:1;via-primary
0000761648,"CEDAR REALTY TRUST, INC.",2022-08-12,8-K,0001193125-22-219336,A,8k-text:merger:3;via-primary
0000794172,MERIDIAN BIOSCIENCE INC,2022-07-07,8-K,0001193125-22-189136,A,8k-text:merger:3;target:2;acquirer:1;via-primary
0000803578,"WAVEDANCER, INC.",2023-11-16,8-K,0001437749-23-032271,A,8k-text:merger:3;via-primary
0000803578,"WAVEDANCER, INC.",2024-01-18,8-K,0001437749-24-001618,A,8k-text:merger:3;via-primary
0000803578,"WAVEDANCER, INC.",2024-06-21,8-K,0001437749-24-020877,A,8k-text:merger:3;via-primary
0000803578,"WAVEDANCER, INC.",2024-07-29,8-K,0001437749-24-023671,A,8k-text:merger:3;via-primary
0000803578,"WAVEDANCER, INC.",2024-08-12,8-K,0001437749-24-026083,A,8k-text:merger:3;target:1;acquirer:2;defence:1;via-primary
0000807882,JACK IN THE BOX INC,2022-03-08,8-K,0001140361-22-008279,A,8k-text:merger:3;via-primary
0000813298,"DESTINATION XL GROUP, INC.",2026-08-19,8-K,0001193125-26-357135,A,8k-text:merger:3;via-primary
0000835324,"Stock Yards Bancorp, Inc.",2021-08-04,8-K,0001171843-21-005503,A,8k-text:merger:3;target:3;acquirer:2;defence:1;via-primary
0000835324,"Stock Yards Bancorp, Inc.",2022-03-07,8-K,0001171843-22-001685,A,8k-text:merger:3;target:1;acquirer:3;defence:1;via-primary
0000836147,MIDDLEFIELD BANC CORP,2022-05-27,8-K,0001193125-22-162294,A,8k-text:merger:4;via-primary
0000836147,MIDDLEFIELD BANC CORP,2022-12-01,8-K,0001193125-22-296213,A,8k-text:merger:3;via-primary
0000836147,MIDDLEFIELD BANC CORP,2025-10-27,8-K,0001437749-25-031826,A,8k-text:merger:5;via-primary
0000836690,INNOVATIVE SOLUTIONS & SUPPORT INC,2022-09-12,8-K,0001104659-22-099272,A,8k-text:merger:2;target:3;acquirer:1;defence:1;via-primary
0000840715,CLEARONE INC,2024-11-25,8-K,0001753926-24-001999,A,8k-text:merger:1;via-primary
0000840715,CLEARONE INC,2026-08-11,8-K,0001753926-26-001428,A,8k-text:merger:2;via-primary
0000842717,"BLUE RIDGE BANKSHARES, INC.",2026-08-17,8-K,0001193125-26-353285,A,8k-text:merger:3;target:1;acquirer:1;via-primary
