cik,name,event_date,form,accession,route,confirm_detail,side
0001682149,Datavault AI Inc.,2026-08-19,8-K,0001104659-26-098835,A,8k-text:merger:3;via-primary,treated
0001800637,Agrify Corp,2021-10-05,8-K,0001013762-21-000191,A,8k-text:merger:1;via-primary,treated
0001800637,Agrify Corp,2024-05-20,8-K,0001213900-24-044908,A,8k-text:merger:3;via-primary,treated
0001832487,"Guerrilla RF, Inc.",2021-10-27,8-K,0001213900-21-054809,A,8k-text:merger:3;target:3;acquirer:2;defence:3;nonmerger:4;via-primary,treated
0001356576,"SUPERNUS PHARMACEUTICALS, INC.",2021-10-12,SC TO-C,0001104659-21-125030,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header,control
0001356576,"SUPERNUS PHARMACEUTICALS, INC.",2021-10-25,SC TO-T,0001104659-21-129312,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header,control
0001356576,"SUPERNUS PHARMACEUTICALS, INC.",2025-06-16,SC TO-C,0001104659-25-059761,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header,control
0001356576,"SUPERNUS PHARMACEUTICALS, INC.",2025-06-16,SC TO-C,0001104659-25-059956,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header,control
0001356576,"SUPERNUS PHARMACEUTICALS, INC.",2025-07-02,SC TO-T,0001104659-25-065398,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header,control
0001560241,"G1 Therapeutics, Inc.",2024-08-07,8-K,0001193125-24-195484,A,8k-text:merger:5;target:1;acquirer:1;nonmerger:1;via-primary,control
0001560241,"G1 Therapeutics, Inc.",2024-09-18,8-K,0001193125-24-221120,A,8k-text:merger:4;target:3;acquirer:2;nonmerger:1;via-primary,control
