permno,cik,td,treated_permno,treated_accession,match_group,extraction_status,window_coverage,bid12,first_bid_date,first_bid_form,first_bid_route,first_bid_accession,n_bid_events,filer_own_bid,ambiguous,n_ambiguous_events,excluded_prior_bid,prior_bid_any,prior_bid_last_date
11499,0000003197,2023-05-29,17045,0001193805-23-000851,0001193805-23-000851,ok,full,0.0,,,,,0,0,0,0,0,0,
49330,0000003499,2023-03-01,22360,0000904853-23-000005,0000904853-23-000005,ok,full,0.0,,,,,0,0,0,0,0,0,
10516,0000007084,2024-08-13,26825,0001341004-24-000139,0001341004-24-000139,ok,full,0.0,,,,,0,0,0,0,0,0,
15203,0000007623,2023-05-26,81741,0000944075-23-000041,0000944075-23-000041,ok,full,0.0,,,,,0,0,0,0,0,0,
15203,0000007623,2024-11-12,14339,0001781002-24-000055,0001781002-24-000055,ok,full,0.0,,,,,0,0,0,0,0,0,
14720,0000008504,2022-12-19,22356,0001891364-22-000004,0001891364-22-000004,ok,full,0.0,,,,,0,0,0,0,0,0,
27684,0000008858,2023-01-31,82777,0000950142-23-000274,0000950142-23-000274,ok,full,0.0,,,,,0,0,0,0,0,0,
23182,0000019745,2024-11-14,21619,0001213900-24-111891,0001213900-24-111891,ok,full,0.0,,,,,0,0,0,0,0,0,
56274,0000023217,2024-10-11,16431,0001104659-24-109740,0001104659-24-109740,ok,full,0.0,,,,,0,0,0,0,0,0,
26650,0000023795,2023-09-27,14566,0001104659-23-107787,0001104659-23-107787,ok,full,0.0,,,,,0,0,0,0,0,0,
59256,0000025895,2024-04-05,27909,0000921895-24-000833,0000921895-24-000833,ok,full,0.0,,,,,0,0,0,0,0,0,
25953,0000029905,2024-11-06,87034,0001139032-25-000002,0001139032-25-000002,ok,full,0.0,,,,,0,0,0,0,0,0,
31691,0000033533,2023-08-20,20312,0001213900-23-071415,0001213900-23-071415,ok,full,0.0,,,,,0,0,0,0,0,0,
36346,0000034782,2022-02-11,86287,0001104659-22-023678,0001104659-22-023678,ok,full,0.0,,,,,0,0,0,0,0,0,
37568,0000038725,2022-10-10,17987,0001193805-22-001434,0001193805-22-001434,ok,full,0.0,,,,,0,0,0,0,0,0,
37568,0000038725,2024-06-06,16182,0001085146-24-002696,0001085146-24-002696,ok,full,0.0,,,,,0,0,0,0,0,0,
12036,0000040211,2022-01-27,16631,0001193805-22-000143,0001193805-22-000143,ok,full,0.0,,,,,0,0,0,0,0,0,
17144,0000040704,2024-08-13,26825,0001341004-24-000139,0001341004-24-000139,ok,full,0.0,,,,,0,0,0,0,0,0,
83989,0000043196,2024-04-01,88742,0001493152-24-013789,0001493152-24-013789,ok,full,0.0,,,,,0,0,0,0,0,0,
32870,0000048465,2024-08-13,26825,0001341004-24-000139,0001341004-24-000139,ok,full,0.0,,,,,0,0,0,0,0,0,
76732,0000049754,2023-02-01,21890,0001866581-23-000028,0001866581-23-000028,ok,full,0.0,,,,,0,0,0,0,0,0,
76732,0000049754,2024-08-08,22085,0000921895-24-001846,0000921895-24-001846,ok,full,0.0,,,,,0,0,0,0,0,0,
12380,0000050471,2023-03-03,26084,0001815572-23-000003,0001815572-23-000003,ok,full,0.0,,,,,0,0,0,0,0,0,
12380,0000050471,2024-11-22,17343,0001213900-24-102372,0001213900-24-102372,ok,full,0.0,,,,,0,0,0,0,0,0,
86594,0000056679,2022-03-31,11370,0001193805-22-000591,0001193805-22-000591,ok,full,0.0,,,,,0,0,0,0,0,0,
89369,0000057725,2022-03-18,85293,0000921895-22-000996,0000921895-22-000996,ok,full,0.0,,,,,0,0,0,0,0,0,
89369,0000057725,2022-07-06,17105,0001072613-22-000489,0001072613-22-000489,ok,full,0.0,,,,,0,0,0,0,0,0,
26710,0000060086,2024-12-09,23340,0001493152-24-049899,0001493152-24-049899,ok,full,0.0,,,,,0,0,0,0,0,0,
