cik,name,event_date,form,accession,route,confirm_detail
0000043196,"GRAY MEDIA, INC",2021-12-01,8-K,0001193125-21-345550,A,8k-text:merger:3;target:1;acquirer:2;nonmerger:4;via-primary
0000098338,TSR INC,2024-06-28,8-K,0001213900-24-057272,A,8k-text:merger:4;target:4;acquirer:1;nonmerger:1;via-primary
0000315131,PHX MINERALS INC.,2025-05-12,8-K,0001104659-25-047293,A,8k-text:merger:4;target:3;acquirer:1;via-primary
0000320017,"LISATA THERAPEUTICS, INC.",2026-01-21,8-K,0000320017-26-000006,A,8k-text:merger:1;target:2;acquirer:1;nonmerger:1;via-primary
0000320017,"LISATA THERAPEUTICS, INC.",2026-02-27,8-K,0000320017-26-000012,A,8k-text:merger:1;target:2;acquirer:1;via-primary
0000320017,"LISATA THERAPEUTICS, INC.",2026-07-17,8-K,0001140361-26-028763,A,8k-text:merger:3;via-primary
0000704440,"KORU Medical Systems, Inc.",2023-05-17,8-K,0001161697-23-000302,A,8k-text:merger:3;via-primary
0000708821,PAR TECHNOLOGY CORP,2021-04-08,8-K,0001140361-21-012100,A,8k-text:merger:3;target:1;acquirer:4;defence:1;nonmerger:1;via-primary
0000711772,CAMBRIDGE BANCORP,2022-10-03,8-K,0000950170-22-019148,A,8k-text:merger:3;target:1;acquirer:1;via-primary
0000714256,Sanara MedTech Inc.,2022-04-04,8-K,0001493152-22-008931,A,8k-text:merger:3;via-primary
0000714562,FIRST FINANCIAL CORP /IN/,2024-07-03,8-K,0000714562-24-000037,A,8k-text:merger:2;target:2;acquirer:1;via-primary
0000714562,FIRST FINANCIAL CORP /IN/,2025-11-06,8-K,0000714562-25-000065,A,8k-text:merger:3;target:1;acquirer:1;via-primary
0000714562,FIRST FINANCIAL CORP /IN/,2026-03-02,8-K,0000714562-26-000011,A,8k-text:merger:3;target:2;acquirer:1;via-primary
0000720005,RAYMOND JAMES FINANCIAL INC,2021-10-26,8-K,0001193125-21-308159,A,8k-text:merger:3;via-primary
0000733269,"LiveRamp Holdings, Inc.",2026-05-18,8-K,0001104659-26-062908,A,8k-text:merger:3;target:2;acquirer:1;via-primary
0000740971,OLD POINT FINANCIAL CORP,2025-04-07,8-K,0001104659-25-032666,A,8k-text:merger:3;via-primary
0000740971,OLD POINT FINANCIAL CORP,2025-09-02,8-K,0001104659-25-086430,A,8k-text:merger:3;via-primary
0000749660,ICAD INC,2025-04-15,8-K,0001193805-25-000483,A,8k-text:merger:3;target:2;acquirer:1;via-primary
0000749660,ICAD INC,2025-07-17,8-K,0001193805-25-001039,A,8k-text:merger:3;target:2;acquirer:1;via-primary
0000771497,ABM INDUSTRIES INC /DE/,2022-08-18,8-K,0001104659-22-092386,A,8k-text:merger:3;via-primary
0000861838,"Aceragen, Inc.",2022-09-30,8-K,0001104659-22-104590,A,8k-text:merger:3;target:4;acquirer:1;nonmerger:2;via-primary
0000876378,"ASENSUS SURGICAL, INC.",2024-08-22,8-K,0001437749-24-027539,A,8k-text:merger:3;target:3;acquirer:1;via-primary
0000890821,"Enveric Biosciences, Inc.",2023-12-29,8-K,0001493152-23-046601,A,8k-text:merger:1;via-primary
0000899460,MANNKIND CORP,2025-08-25,SC TO-C,0001193125-25-187082,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0000899460,MANNKIND CORP,2025-08-25,SC TO-C,0001193125-25-187714,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0000899460,MANNKIND CORP,2025-09-08,SC TO-T,0001193125-25-198346,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0000910638,3D SYSTEMS CORP,2021-09-09,8-K,0001171843-21-006385,A,8k-text:merger:3;via-primary
0000910638,3D SYSTEMS CORP,2021-10-28,8-K,0001171843-21-007242,A,8k-text:merger:3;via-primary
0000913760,StoneX Group Inc.,2025-07-08,8-K,0000913760-25-000123,A,8k-text:merger:1;target:1;acquirer:1;nonmerger:2;via-primary
0000913760,StoneX Group Inc.,2025-07-31,8-K,0000913760-25-000127,A,8k-text:merger:3;target:1;acquirer:2;nonmerger:3;via-primary
0000915358,SIGMATRON INTERNATIONAL INC,2025-05-21,8-K,0001213900-25-046220,A,8k-text:merger:4;target:5;acquirer:1;via-primary
0000944148,"CBIZ, Inc.",2024-07-31,8-K,0001193125-24-189467,A,8k-text:merger:3;target:1;acquirer:2;via-primary
0001000298,IMPAC MORTGAGE HOLDINGS INC,2022-04-29,8-K,0001104659-22-053641,A,8k-text:merger:1;via-primary
0001000298,IMPAC MORTGAGE HOLDINGS INC,2022-06-23,8-K,0001104659-22-073749,A,8k-text:merger:1;via-primary
0001000298,IMPAC MORTGAGE HOLDINGS INC,2022-10-26,8-K,0001104659-22-111578,A,8k-text:merger:1;via-primary
0001001171,BROADWAY FINANCIAL CORP \DE\,2021-02-23,8-K,0001140361-21-005798,A,8k-text:merger:2;target:1;acquirer:1;via-primary
0001007019,COFFEE HOLDING CO INC,2023-07-03,8-K,0001493152-23-023315,A,8k-text:merger:1;via-primary
0001007019,COFFEE HOLDING CO INC,2024-01-04,8-K,0001493152-24-001093,A,8k-text:merger:1;via-primary
0001021162,TRIUMPH GROUP INC,2025-02-03,8-K,0001193125-25-018820,A,8k-text:merger:3;target:2;acquirer:1;via-primary
0001021270,"BBQ HOLDINGS, INC.",2022-08-09,8-K,0001193125-22-215609,A,8k-text:merger:4;target:4;acquirer:1;via-primary
0001043509,SONIC AUTOMOTIVE INC,2021-09-22,8-K,0001043509-21-000016,A,8k-text:merger:3;target:1;acquirer:2;via-primary
0001070081,"PTC THERAPEUTICS, INC.",2025-08-07,8-K,0001558370-25-010786,A,8k-text:merger:3;via-primary
0001089063,"DICK'S SPORTING GOODS, INC.",2025-09-08,8-K,0001140361-25-034244,A,8k-text:merger:3;via-primary
0001168455,PLUMAS BANCORP,2025-01-29,8-K,0001437749-25-002080,A,8k-text:merger:3;target:1;acquirer:1;via-primary
0001168455,PLUMAS BANCORP,2025-07-02,8-K,0001437749-25-021869,A,8k-text:merger:3;target:1;acquirer:2;nonmerger:1;via-primary
0001278021,MARKETAXESS HOLDINGS INC,2026-07-30,8-K,0001193125-26-324933,A,8k-text:merger:3;target:2;acquirer:1;via-primary
0001285550,"ClearPoint Neuro, Inc.",2025-11-06,8-K,0001193125-25-269992,A,8k-text:merger:3;via-primary
0001285550,"ClearPoint Neuro, Inc.",2025-11-20,8-K,0001193125-25-290003,A,8k-text:merger:3;via-primary
0001289636,PROFIRE ENERGY INC,2024-10-29,8-K,0001289636-24-000038,A,8k-text:merger:4;target:2;acquirer:1;via-primary
0001293971,"bluebird bio, Inc.",2025-05-14,8-K,0001193125-25-119447,A,8k-text:merger:3;via-primary
0001305168,"ARC DOCUMENT SOLUTIONS, INC.",2024-09-11,8-K,0001140361-24-040783,A,8k-text:merger:3;via-primary
0001326706,"ENvue Medical, Inc.",2025-02-14,8-K,0001493152-25-006855,A,8k-text:merger:3;target:1;acquirer:1;defence:1;via-primary
0001327607,First Western Financial Inc,2021-07-22,8-K,0001104659-21-094957,A,8k-text:merger:3;via-primary
0001327607,First Western Financial Inc,2022-01-03,8-K,0001558370-22-000006,A,8k-text:merger:3;target:1;acquirer:1;via-primary
0001337553,AERIE PHARMACEUTICALS INC,2022-08-23,8-K,0001193125-22-227609,A,8k-text:merger:3;target:2;acquirer:1;via-primary
0001356576,"SUPERNUS PHARMACEUTICALS, INC.",2021-10-12,SC TO-C,0001104659-21-125030,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
