cik,name,coder_cached,coder_n_events,h1_hits,h2_bidlike_hits,potential_misses,miss_forms
0000844965,TETRA TECHNOLOGIES INC,True,0,0,4,4,8-K:2021-01-29;8-K:2026-06-04;8-K:2021-03-26;8-K:2023-03-01
0001474627,"Newegg Commerce, Inc.",True,0,0,0,0,
0001836056,Ambrx Biopharma Inc.,True,2,1,1,0,
0001039466,NovAccess Global Inc.,True,0,0,11,11,8-K:2021-08-25;8-K:2022-02-18;8-K:2022-05-10;8-K:2023-02-13;8-K:2023-06-12;8-K:2023-06-23;8-K:2023-08-14;8-K:2024-02-28;8-K:2024-05-03;8-K:2024-05-17;8-K:2024-09-24
0000728387,"Perspective Therapeutics, Inc.",True,3,0,3,3,8-K:2024-05-29;8-K:2026-02-03;8-K:2024-01-22
0001883962,ALSP Orchid Acquisition Corp I,True,0,0,0,0,
0001953578,Renergen Ltd,True,0,0,0,0,
0001593538,NAVIENT CORP,True,0,0,1,1,8-K:2021-12-20
0001885849,Tofla Megaline Inc.,True,0,0,0,0,
0001655923,Alpha Cognition Inc.,True,0,0,3,3,8-K:2024-09-25;8-K:2024-11-18;8-K:2025-10-02
0000715446,Anixa Biosciences Inc,True,0,0,1,1,8-K:2021-03-24
0001423221,Quanex Building Products CORP,True,2,2,4,2,8-K:2024-04-22;DEFA14A:2024-04-22
0001847846,EUDA Health Holdings Ltd,True,3,1,6,5,DEFA14A:2022-11-07;8-K:2022-11-10;DEFA14A:2022-11-10;8-K:2022-11-14;DEFA14A:2022-11-14
0001988894,"Amer Sports, Inc.",True,0,0,0,0,
0001899287,"Amprius Technologies, Inc.",True,1,0,10,9,425:2022-05-12;8-K:2022-09-16;8-K:2022-09-28;SC TO-I:2024-05-13;SC TO-I:2024-06-24;8-K:2023-03-23;8-K:2023-05-10;8-K:2024-08-08;8-K:2024-10-23
0002065948,Solarius Capital Acquisition Corp.,True,0,0,2,2,8-K:2025-07-18;8-K:2025-07-24
0001868734,"CinCor Pharma, Inc.",True,5,11,23,18,SC 13D:2022-01-21;SC 13D/A:2023-01-11;SC 13D/A:2023-02-28;SC 13D:2023-01-18;SC TO-T/A:2023-02-03;SC 13D:2023-02-13;SC TO-T/A:2023-02-23;SC TO-T/A:2023-02-24;SC 13D/A:2023-02-28;SC 13D/A:2023-03-03;8-K:2022-08-11;SC14D9C:2023-01-09;SC 14D9/A:2023-02-03;SC 14D9/A:2023-02-13;SC 14D9/A:2023-02-15;8-K:2023-02-21;SC 14D9/A:2023-02-23;SC 14D9/A:2023-02-24
0001671927,Immunocore Holdings plc,True,0,0,2,2,SC 13D:2022-07-21;8-K:2024-02-02
0001859285,HireRight Holdings Corp,True,4,2,4,1,DEFA14A:2024-02-16
0001866581,Dutch Bros Inc.,True,0,0,6,6,8-K:2021-09-17;8-K:2023-09-08;8-K:2024-03-01;8-K:2024-03-26;8-K:2024-06-12;8-K:2024-05-20
