cik,accession,td,date_filed,filer_cik,filer_name,subject_name,extraction_status,window_coverage,bid12,first_bid_date,first_bid_form,first_bid_route,first_bid_accession,n_bid_events,filer_own_bid,ambiguous,n_ambiguous_events,excluded_prior_bid,prior_bid_any,prior_bid_last_date
0000002178,0001104659-24-075608,2024-06-26,2024-06-27,0001827454,"THG Securities Fund, L.P.","ADAMS RESOURCES & ENERGY, INC.",ok,full,1.0,2024-11-12,8-K,A,0000002178-24-000090,4,0,0,0,0,0,
0000002230,0001062993-23-017384,2023-08-31,2023-09-01,0001510281,"Saba Capital Management, L.P.","ADAMS DIVERSIFIED EQUITY FUND, INC.",ok,full,1.0,2024-05-24,SC TO-C,A+B,0000898432-24-000440,1,0,0,0,0,0,
0000006176,0000921895-22-000091,2021-12-28,2022-01-07,0001446114,"Ancora Advisors, LLC",AMPCO PITTSBURGH CORP,ok,full,0.0,,,,,0,0,0,0,0,0,
0000006176,0001731122-25-001701,2025-12-17,2025-12-19,0001991451,"Galloway Capital Partners, LLC",AMPCO PITTSBURGH CORP,ok,full,0.0,,,,,0,0,0,0,0,0,
0000007039,0000807249-22-000071,2022-05-27,2022-06-06,0000807249,"GAMCO INVESTORS, INC. ET AL",TRECORA RESOURCES,ok,full,1.0,2022-06-27,8-K,A,0001193125-22-182819,1,0,0,0,1,1,2022-05-26
0000008063,0001214659-22-004136,2022-03-10,2022-03-21,0001873893,325 CAPITAL LLC,ASTRONICS CORP,ok,full,0.0,,,,,0,0,0,0,0,0,
0000008146,0001171520-22-000566,2022-12-05,2022-12-13,0000937541,Kamin Peter,"AstroNova, Inc.",ok,full,0.0,,,,,0,0,0,0,0,0,
0000008146,0001815572-25-000007,2025-03-17,2025-03-17,0001815572,ASKELADDEN CAPITAL MANAGEMENT LLC,"AstroNova, Inc.",ok,full,0.0,,,,,0,0,0,0,0,0,
0000008328,0001575872-22-000814,2022-08-09,2022-08-22,0001943231,BMI Minerals Co,"Applied Minerals, Inc.",ok,full,0.0,,,,,0,0,0,0,0,0,
0000008328,0001575872-22-000822,2022-08-09,2022-08-23,0001943750,Fox Richard Brian,"Applied Minerals, Inc.",ok,full,0.0,,,,,0,0,0,0,0,0,
0000009389,0000892712-25-000043,2025-03-24,2025-03-24,0000948669,"PARNASSUS INVESTMENTS, LLC",BALL Corp,ok,full,0.0,,,,,0,0,0,0,0,0,
0000009521,0001062993-25-002363,2025-02-11,2025-02-13,0001510281,"Saba Capital Management, L.P.",BANCROFT FUND LTD,ok,full,0.0,,,,,0,0,0,0,0,0,
0000009984,0000921895-24-000155,2024-01-18,2024-01-29,0001929389,Irenic Capital Management LP,BARNES GROUP INC,ok,full,1.0,2024-10-07,8-K,A,0001140361-24-042932,3,0,0,0,0,0,
0000010048,0000929638-25-002512,2025-06-26,2025-07-03,0002074670,"Barnwell Industries, Inc. Employees' Pension Plan Trust",BARNWELL INDUSTRIES INC,ok,full,0.0,,,,,0,0,0,0,0,0,
0000010048,0000921895-25-003243,2025-11-24,2025-12-02,0001380585,Radoff Bradley Louis,BARNWELL INDUSTRIES INC,ok,full,0.0,,,,,0,0,0,0,0,0,
0000010254,0000899140-22-000470,2022-04-14,2022-04-22,0001923166,"Cypress Investments, LLC",EARTHSTONE ENERGY INC,ok,full,0.0,,,,,0,0,0,0,0,0,
0000010329,0001437749-24-014887,2024-04-29,2024-05-06,0001813065,"Auto Services Company, Inc.",BASSETT FURNITURE INDUSTRIES INC,ok,full,0.0,,,,,0,0,0,0,0,0,
0000011544,0001193125-25-316177,2025-12-04,2025-12-11,0001142206,MITSUI SUMITOMO INSURANCE CO LTD,BERKLEY W R CORP,ok,full,0.0,,,,,0,0,0,0,0,0,
0000011544,0001193125-25-316616,2025-12-05,2025-12-11,0000918186,BERKLEY WILLIAM R,BERKLEY W R CORP,ok,full,0.0,,,,,0,0,0,0,0,0,
0000012239,0001213900-22-083244,2022-12-19,2022-12-28,0001856536,Wool Kyle Michael,Dominari Holdings Inc.,ok,full,0.0,,,,,0,0,0,0,0,0,
0000012239,0001213900-23-099249,2023-12-20,2023-12-28,0001538372,Hayes Anthony,Dominari Holdings Inc.,ok,full,0.0,,,,,0,0,0,0,0,0,
0000013156,0001839882-22-007258,2022-03-23,2022-04-01,0001920194,Brown Tice,"Galaxy Gaming, Inc.",ok,full,0.0,,,,,0,0,0,0,0,0,
0000016859,0001213900-23-094576,2023-12-11,2023-12-11,0001201333,SUBIN NEIL S,Scully Royalty Ltd.,ok,full,0.0,,,,,0,0,0,0,0,0,
0000019871,0002056058-25-000003,2025-12-11,2025-12-12,0000944502,MORRISSEY JOHN A,CHICAGO RIVET & MACHINE CO,ok,full,0.0,,,,,0,0,0,0,0,0,
0000019871,0001731122-25-001730,2025-12-26,2025-12-29,0001991451,"Galloway Capital Partners, LLC",CHICAGO RIVET & MACHINE CO,ok,full,0.0,,,,,0,0,0,0,0,0,
0000020520,0001104659-23-065438,2023-05-26,2023-05-26,0001259313,ARES MANAGEMENT LLC,"Frontier Communications Parent, Inc.",ok,full,0.0,,,,,0,0,0,0,0,0,
0000020520,0001493152-23-039512,2023-10-26,2023-11-06,0001525907,"Cerberus Capital Management, L.P.","Frontier Communications Parent, Inc.",ok,full,1.0,2024-09-05,8-K,A,0001140361-24-040148,3,0,0,0,0,0,
0000020520,0001104659-24-110213,2024-10-14,2024-10-21,0001604350,Glendon Capital Management LP,"Frontier Communications Parent, Inc.",ok,full,0.0,,,,,0,0,0,0,1,1,2024-10-07
0000021175,0000060086-23-000140,2023-08-02,2023-08-02,0000060086,LOEWS CORP,CNA FINANCIAL CORP,ok,full,0.0,,,,,0,0,0,0,0,0,
0000022701,0000897101-22-000382,2022-03-28,2022-04-06,0001920590,"NORTHERN PACIFIC GROWTH INVESTMENT ADVISORS, LLC","Pineapple Holdings, Inc.",ok,full,,,,,,0,0,1,1,1,1,2021-12-20
0000022701,0000897101-23-000347,2022-11-09,2023-08-07,0001954316,Maskin Scott,Pineapple Energy Inc.,ok,full,0.0,,,,,0,0,0,0,1,1,2021-12-20
0000022701,0000807249-24-000036,2024-03-20,2024-03-20,0000807249,"GAMCO INVESTORS, INC. ET AL",Pineapple Energy Inc.,ok,full,0.0,,,,,0,0,0,0,0,1,2021-12-20
0000022701,0001493152-24-041340,2024-10-09,2024-10-16,0002040809,Conroy Jeffrey J.,Pineapple Energy Inc.,ok,full,0.0,,,,,0,0,0,0,0,1,2021-12-20
0000022701,0001104659-25-035437,2025-04-09,2025-04-16,0000800177,DANSKE BANK A/S,"SUNation Energy, Inc.",ok,full,0.0,,,,,0,0,0,0,0,1,2021-12-20
0000023111,0001815572-23-000003,2023-03-03,2023-03-10,0001815572,ASKELADDEN CAPITAL MANAGEMENT LLC,COMPUTER TASK GROUP INC,ok,full,1.0,2023-08-09,8-K,A,0001193125-23-206851,5,0,0,0,0,0,
0000023197,0000902664-24-000532,2024-01-22,2024-01-24,0002005699,White Hat Capital Partners LP,COMTECH TELECOMMUNICATIONS CORP /DE/,ok,full,0.0,,,,,0,0,0,0,0,0,
0000023197,0000921895-24-002155,2024-09-13,2024-09-20,0001210707,PORCELAIN MICHAEL,COMTECH TELECOMMUNICATIONS CORP /DE/,ok,full,0.0,,,,,0,0,0,0,0,0,
0000025743,0001104659-22-087294,2022-08-04,2022-08-08,0001687509,Rubric Capital Management LP,"TherapeuticsMD, Inc.",ok,full,0.0,,,,,0,0,0,0,1,1,2022-07-14
0000026780,0001539497-22-000021,2021-12-28,2022-01-07,0000921669,ICAHN CARL C,DANA INC,ok,full,0.0,,,,,0,0,0,0,0,0,
0000028823,0000899140-23-000905,2023-08-11,2023-08-21,0001826937,Hein Park Capital Management LP,"DIEBOLD NIXDORF, Inc",ok,full,0.0,,,,,0,0,0,0,0,0,
0000028823,0000929638-23-002318,2023-08-11,2023-08-21,0001590729,Millstreet Capital Management LLC,"DIEBOLD NIXDORF, Inc",ok,full,0.0,,,,,0,0,0,0,0,0,
0000028823,0001140361-23-040516,2023-08-11,2023-08-18,0001453885,Beach Point Capital Management LP,"DIEBOLD NIXDORF, Inc",ok,full,0.0,,,,,0,0,0,0,0,0,
0000028823,0001422849-23-000154,2023-08-11,2023-08-21,0001422849,Capital World Investors,"DIEBOLD NIXDORF, Inc",ok,full,0.0,,,,,0,0,0,0,0,0,
0000029332,0000029332-22-000058,2022-04-19,2022-04-19,0000029332,DIXIE GROUP INC,DIXIE GROUP INC,ok,full,0.0,,,,,0,0,0,0,0,0,
0000029332,0000029332-23-000065,2023-07-11,2023-07-12,0000029332,DIXIE GROUP INC,DIXIE GROUP INC,ok,full,0.0,,,,,0,0,0,0,0,0,
0000029332,0000029332-24-000015,2024-03-18,2024-03-19,0000029332,DIXIE GROUP INC,DIXIE GROUP INC,ok,full,0.0,,,,,0,0,0,0,0,0,
0000030305,0001493152-24-013403,2024-04-01,2024-04-08,0001982492,Albion River Management LLC,DUCOMMUN INC /DE/,ok,full,0.0,,,,,0,0,0,0,0,0,
0000033992,0001213900-22-040578,2022-07-21,2022-07-21,0001212542,FORTUNOFF GREGORY,"KINGSTONE COMPANIES, INC.",ok,full,0.0,,,,,0,0,0,0,0,0,
0000034067,0000921895-24-001414,2024-06-06,2024-06-13,0000914712,"Steel Connect, Inc.",DMC Global Inc.,ok,full,1.0,2024-09-17,SC TO-C,A+B,0000921895-24-002141,1,1,0,1,0,0,
0000034563,0000921895-22-002665,2022-09-09,2022-09-19,0001461945,"JCP Investment Management, LLC",FARMER BROTHERS CO,ok,full,0.0,,,,,0,0,0,0,0,0,
0000034563,0000921895-22-002792,2022-09-30,2022-10-07,0001640809,"22NW Fund, LP",FARMER BROTHERS CO,ok,full,0.0,,,,,0,0,0,0,0,0,
0000037472,0001214659-23-014895,2023-11-02,2023-11-14,0001569866,GLOBAL VALUE INVESTMENT CORP.,FLEXSTEEL INDUSTRIES INC,ok,full,0.0,,,,,0,0,0,0,0,0,
0000038264,0001104659-25-091229,2025-09-11,2025-09-18,0002017172,"Multicoin Capital Management, LLC","Forward Industries, Inc.",ok,full,0.0,,,,,0,0,0,0,0,0,
0000038264,0001193125-25-207730,2025-09-11,2025-09-18,0001813689,"Galaxy Digital, LP","Forward Industries, Inc.",ok,full,0.0,,,,,0,0,0,0,0,0,
0000038264,0002086701-25-000004,2025-09-11,2025-09-18,0002086701,J Digital 6 Cayman Ltd.,"Forward Industries, Inc.",ok,full,0.0,,,,,0,0,0,0,0,0,
0000040417,0001062993-24-018004,2024-10-25,2024-10-28,0001510281,"Saba Capital Management, L.P.",GENERAL AMERICAN INVESTORS CO INC,ok,full,0.0,,,,,0,0,0,0,0,0,
0000040570,0001214659-23-004528,2023-03-30,2023-03-31,0001325533,"Red Oak Partners, LLC",GEE Group Inc.,ok,full,0.0,,,,,0,0,0,0,0,0,
0000040570,0001062993-23-016502,2023-08-08,2023-08-15,0001989386,Goldenwise Capital Group Ltd,GEE Group Inc.,ok,full,0.0,,,,,0,0,0,0,0,0,
0000041719,0000921895-24-002785,2024-11-14,2024-11-21,0001580320,"ENGINE CAPITAL, L.P.",Magnera Corp,ok,full,0.0,,,,,0,0,0,0,0,0,
0000045876,0001415889-24-030253,2024-12-27,2024-12-30,0001465109,Neuberger Berman Group LLC,ENVIRI Corp,ok,full,1.0,2025-11-21,8-K,A,0001193125-25-290738,1,0,0,0,0,0,
0000045876,0001104659-25-117433,2025-11-21,2025-12-01,0001009268,"D. E. SHAW & CO, L.P.",ENVIRI Corp,ok,full,1.0,2025-11-21,8-K,A,0001193125-25-290738,4,0,0,0,0,0,
0000045919,0000902664-25-002600,2023-04-17,2025-05-30,0002069791,Rosenbach Gary Stephen,HARTE HANKS INC,ok,full,0.0,,,,,0,0,0,0,0,0,
0000045919,0000921895-24-002895,2024-12-04,2024-12-06,0001380585,Radoff Bradley Louis,HARTE HANKS INC,ok,full,0.0,,,,,0,0,0,0,0,0,
0000046129,0001214659-24-018485,2024-10-30,2024-11-06,0001794034,"Juniper Investment Company, LLC",ALLIENT INC,ok,full,0.0,,,,,0,0,0,0,0,0,
0000046207,0001213900-24-006962,2024-01-16,2024-01-26,0001993057,Barnes Kevin,HAWAIIAN ELECTRIC CO INC,ok,full,0.0,,,,,0,0,0,0,0,0,
0000050292,0001531612-23-000018,2023-05-16,2023-05-16,0001531612,"Cove Street Capital, LLC",IEH Corp,ok,full,0.0,,,,,0,0,0,0,0,0,
0000050725,0001193805-22-001168,2022-08-12,2022-08-15,0001730145,"Voss Capital, LLC",GRIFFON CORP,ok,full,0.0,,,,,0,0,0,0,0,0,
0000055067,0001341004-24-000139,2024-08-13,2024-08-19,0002033686,"Acquiror 10VB8, LLC",KELLANOVA,ok,full,1.0,2024-09-11,PREM14A,A,0001193125-24-217313,2,0,0,2,0,0,
0000055529,0001171520-22-000039,2022-01-24,2022-01-25,0000937541,Kamin Peter,KEWAUNEE SCIENTIFIC CORP /DE/,ok,full,0.0,,,,,0,0,0,0,0,0,
0000056868,0001437749-24-002788,2024-02-01,2024-02-01,0001018124,FONG GIFFORD,PRIMEENERGY RESOURCES CORP,ok,full,0.0,,,,,0,0,0,0,0,0,
0000056868,0000912282-25-000128,2025-01-14,2025-02-04,0001015878,DE ROTHSCHILD ROBERT,PRIMEENERGY RESOURCES CORP,ok,full,0.0,,,,,0,0,0,0,0,0,
0000058361,0001062993-22-010019,2022-04-11,2022-04-11,0001058854,CANNELL CAPITAL LLC,"LEE ENTERPRISES, Inc",ok,full,0.0,,,,,0,0,0,0,0,0,
0000058361,0001104659-22-102604,2022-09-20,2022-09-23,0001079093,SLAINE MASON P,"LEE ENTERPRISES, Inc",ok,full,0.0,,,,,0,0,0,0,0,0,
0000058361,0000807249-24-000046,2024-04-15,2024-04-19,0000807249,"GAMCO INVESTORS, INC. ET AL","LEE ENTERPRISES, Inc",ok,full,0.0,,,,,0,0,0,0,0,0,
0000059558,0000950170-25-085594,2025-06-05,2025-06-12,0002067353,"Bain Capital Prairie, LLC",LINCOLN NATIONAL CORP,ok,full,0.0,,,,,0,0,0,0,0,0,
0000060714,0001140361-23-038327,2023-07-28,2023-08-07,0001105838,ROBOTTI ROBERT,"LSB INDUSTRIES, INC.",ok,full,0.0,,,,,0,0,0,0,0,0,
0000062234,0000807249-25-000176,2025-12-09,2025-12-09,0000807249,"GAMCO INVESTORS, INC. ET AL",MARCUS CORP,ok,full,0.0,,,,,0,0,0,0,0,0,
0000063296,0000807249-25-000083,2025-06-06,2025-06-13,0000807249,"GAMCO INVESTORS, INC. ET AL",MATTHEWS INTERNATIONAL CORP,ok,full,0.0,,,,,0,0,0,0,0,0,
0000064463,0001235126-23-000032,2023-07-19,2023-08-01,0001987877,Boos Wayne W,"Soluna Holdings, Inc",ok,full,0.0,,,,,0,0,0,0,0,1,2021-11-04
0000065433,0001062993-25-013144,2025-07-24,2025-07-24,0001510281,"Saba Capital Management, L.P.",MEXICO FUND INC,ok,full,0.0,,,,,0,0,0,0,0,0,
0000065596,0001213900-23-044009,2023-05-18,2023-05-30,0001971612,Kakaopay Corp,SIEBERT FINANCIAL CORP,ok,full,0.0,,,,,0,0,0,0,0,0,
0000071691,0001418812-22-000049,2022-08-02,2022-08-11,0001418812,"VA Partners I, LLC",NEW YORK TIMES CO,ok,full,0.0,,,,,0,0,0,0,0,0,
0000071829,0000921895-22-000398,2021-11-30,2022-02-09,0001380585,Radoff Bradley Louis,NEWPARK RESOURCES INC,ok,full,0.0,,,,,0,0,0,0,0,0,
0000072333,0001104659-24-051481,2024-04-22,2024-04-25,0002019280,Riley Charles W Jr,NORDSTROM INC,ok,full,1.0,2025-03-04,PREM14A,A,0001213900-25-019772,2,0,0,1,0,0,
0000072333,0001193125-24-212653,2024-08-30,2024-09-04,0001946901,"El Puerto de Liverpool, S.A.B. de C.V.",NORDSTROM INC,ok,full,1.0,2025-03-04,PREM14A,A,0001213900-25-019772,3,1,0,1,0,0,
0000072333,0001104659-24-096646,2024-09-03,2024-09-04,0001183469,NORDSTROM ERIK B,NORDSTROM INC,ok,full,1.0,2025-03-04,PREM14A,A,0001213900-25-019772,3,0,0,1,0,0,
0000072333,0001104659-24-131447,2024-12-22,2024-12-23,0001183469,NORDSTROM ERIK B,NORDSTROM INC,ok,full,1.0,2025-03-04,PREM14A,A,0001213900-25-019772,3,0,0,1,0,0,
0000074925,0001140361-22-000857,2021-12-30,2022-01-06,0001890862,QUARTZVIEW CORP,ORIGINAL SIXTEEN TO ONE MINE INC /CA/,ok,full,0.0,,,,,0,0,0,0,0,0,
0000075252,0001193125-25-282986,2025-11-12,2025-11-14,0001409751,"Coliseum Capital Management, LLC",OWENS & MINOR INC/VA/,ok,full,0.0,,,,,0,0,0,0,0,0,
0000077159,0001104659-23-059474,2023-05-12,2023-05-12,0001352851,Magnetar Financial LLC,Ranger Oil Corp,ok,full,1.0,2023-05-18,DEFM14A,A,0001104659-23-062323,2,0,0,0,1,1,2023-02-28
0000077281,0001193805-22-000186,2022-01-31,2022-02-10,0001823527,"Cygnus Capital, Inc.",PENNSYLVANIA REAL ESTATE INVESTMENT TRUST,ok,full,0.0,,,,,0,0,0,0,0,0,
0000078814,0001193805-22-001587,2022-11-14,2022-11-21,0001456565,HESTIA CAPITAL PARTNERS LP,PITNEY BOWES INC /DE/,ok,full,0.0,,,,,0,0,0,0,0,0,
0000080172,0001493152-25-026280,2025-11-28,2025-12-05,0001982492,Albion River Management LLC,NATIONAL PRESTO INDUSTRIES INC,ok,full,0.0,,,,,0,0,0,0,0,0,
0000084129,0000919574-24-005455,2024-08-30,2024-09-09,0001421306,"BRIGADE CAPITAL MANAGEMENT, LP","NEW RITE AID, LLC",ok,full,0.0,,,,,0,0,0,0,0,0,
0000084129,0000950142-24-002364,2024-08-30,2024-09-12,0000019617,JPMORGAN CHASE & CO,"NEW RITE AID, LLC",ok,full,0.0,,,,,0,0,0,0,0,0,
0000084129,0001214659-24-016267,2024-08-30,2024-09-09,0001525362,"HG Vora Capital Management, LLC","NEW RITE AID, LLC",ok,full,0.0,,,,,0,0,0,0,0,0,
0000084129,0002033916-24-000006,2024-08-30,2024-09-09,0001393825,Hudson Bay Capital Management LP,"NEW RITE AID, LLC",ok,full,0.0,,,,,0,0,0,0,0,0,
0000084748,0001193805-23-000094,2023-01-25,2023-02-06,0001517137,Starboard Value LP,ROGERS CORP,ok,full,0.0,,,,,0,0,0,0,0,1,2021-12-16
0000084748,0000921895-25-002118,2025-07-30,2025-08-06,0001517137,Starboard Value LP,ROGERS CORP,ok,full,0.0,,,,,0,0,0,0,0,1,2021-12-16
0000085961,0001214659-22-006766,2022-05-13,2022-05-13,0001525362,"HG Vora Capital Management, LLC",RYDER SYSTEM INC,ok,full,0.0,,,,,0,0,0,0,0,0,
0000087802,0001781002-23-000049,2023-12-13,2023-12-15,0001781002,Bleichroeder LP,SCIENTIFIC INDUSTRIES INC,ok,full,0.0,,,,,0,0,0,0,0,0,
0000087802,0001772351-23-000005,2023-12-19,2023-12-29,0001772351,Veradace Capital Management LLC,SCIENTIFIC INDUSTRIES INC,ok,full,0.0,,,,,0,0,0,0,0,0,
0000088000,0001961261-23-000001,2022-12-30,2023-01-11,0001961261,Granovitz Aaron,Scott's Liquid Gold - Inc.,ok,full,0.0,,,,,0,0,0,0,0,0,
0000088000,0002033370-24-000001,2024-08-01,2024-08-09,0002033370,Horizon Common Inc,Horizon Kinetics Holding Corp,ok,full,,,,,,0,0,1,1,0,0,
0000089140,0001398344-22-010184,2022-04-25,2022-05-23,0001598207,"Wax Asset Management, LLC",SERVOTRONICS INC /DE/,ok,full,0.0,,,,,0,0,0,0,0,0,
0000089140,0001559841-22-000002,2022-08-02,2022-08-03,0001559841,Trbovich Kenneth D,SERVOTRONICS INC /DE/,ok,full,0.0,,,,,0,0,0,0,0,0,
0000089140,0001559841-22-000003,2022-12-06,2022-12-12,0001956845,"Estate of Nicholas D. Trbovich, Sr.",SERVOTRONICS INC /DE/,ok,full,0.0,,,,,0,0,0,0,0,0,
0000089140,0001956845-22-000003,2022-12-06,2022-12-12,0001940403,Trbovich Michael,SERVOTRONICS INC /DE/,ok,full,0.0,,,,,0,0,0,0,0,0,
0000091576,0000950157-25-000042,2024-12-27,2025-01-06,0000009631,BANK OF NOVA SCOTIA,KEYCORP /NEW/,ok,full,0.0,,,,,0,0,0,0,0,0,
0000092380,0000902664-24-004970,2024-07-29,2024-08-05,0001791786,Elliott Investment Management L.P.,SOUTHWEST AIRLINES CO,ok,full,0.0,,,,,0,0,0,0,0,0,
0000093389,0000807249-24-000095,2024-08-12,2024-08-16,0000807249,"GAMCO INVESTORS, INC. ET AL","STANDARD MOTOR PRODUCTS, INC.",ok,full,0.0,,,,,0,0,0,0,0,0,
0000095029,0001213900-25-090272,2025-09-15,2025-09-22,0002086731,Beretta Holdings S.A.,STURM RUGER & CO INC,ok,full,1.0,2026-03-25,SC TO-C,A+B,0001193805-26-000344,3,1,0,0,0,0,
0000095552,0001140361-25-032112,2025-08-13,2025-08-20,0002080221,"SUP Parent Holdings, LLC",SUPERIOR INDUSTRIES INTERNATIONAL INC,ok,full,1.0,2025-08-15,DEFM14A,A,0001140361-25-031532,2,1,0,0,1,1,2025-07-30
0000095953,0000921895-25-001719,2025-05-30,2025-06-06,0002036142,Jumana Capital Investments LLC,ASCENT INDUSTRIES CO.,ok,full,0.0,,,,,0,0,0,0,0,0,
0000098222,0001140361-24-050146,2024-12-13,2024-12-20,0001105838,ROBOTTI ROBERT,TIDEWATER INC,ok,full,0.0,,,,,0,0,0,0,0,0,
0000100726,0000950170-23-046488,2023-08-28,2023-09-05,0000905874,LANGONE KENNETH G,UNIFI INC,ok,full,0.0,,,,,0,0,0,0,0,0,
0000101594,0001493152-22-000977,2022-01-05,2022-01-12,0001903570,Synergy Offshore LLC,US ENERGY CORP,ok,full,0.0,,,,,0,0,0,0,0,0,
0000101594,0001493152-22-001504,2022-01-05,2022-01-18,0001903548,Batchelor Joshua Lane,US ENERGY CORP,ok,full,0.0,,,,,0,0,0,0,0,0,
0000101594,0001493152-22-002759,2022-01-05,2022-01-31,0001377295,Weinzierl John A,US ENERGY CORP,ok,full,0.0,,,,,0,0,0,0,0,0,
0000101594,0001493152-22-021513,2022-07-19,2022-08-05,0001377295,Weinzierl John A,US ENERGY CORP,ok,full,0.0,,,,,0,0,0,0,0,0,
0000101984,0001193805-23-000935,2023-06-21,2023-07-03,0001970265,TORO 18 HOLDINGS LLC,UNIVERSAL ELECTRONICS INC,ok,full,0.0,,,,,0,0,0,0,0,0,
