subject_cik,old_cusip,permno,hdrcusip_linked,ticker,match_route,edgar_name,reason
0000040570,281479105,46834,36165A10,JOB,ticker_unique,GEE Group Inc.,cusip_owned_by_other_permno
0000054187,057847310,27617,57847310,MAYS,ticker_unique,MAYS J W INC,leading_zero_shift_parse_artifact
0000104169,87151X101,55976,93114210,WMT,ticker_unique,Walmart Inc.,subject_filer_header_collapse
0000104889,939640108,53225,38463710,GHC,ticker_unique,Graham Holdings Co,cusip_absent_from_crsp_window
0000789933,629579202,28118,62957910,NC,ticker_unique,NACCO INDUSTRIES INC,same_issuer_different_issue
0000820318,902104AB4,11752,19247G10,COHR,ticker_unique,COHERENT CORP.,non_equity_cusip_line
0000844965,88162G103,76127,88162F10,TTI,ticker_unique,TETRA TECHNOLOGIES INC,cusip_owned_by_other_permno
0000912728,49853101,79841,34986A10,FWRD,ticker_unique,FORWARD AIR CORP,cusip_absent_from_crsp_window
0000918251,68347P103,80341,62007110,MPAA,ticker_unique,MOTORCAR PARTS OF AMERICA INC,cusip_owned_by_other_permno
0000922864,03748R754,80711,03748R74,AIV,ticker_unique,APARTMENT INVESTMENT & MANAGEMENT CO,same_issuer_different_issue
0001095651,64050Y100,75846,78646V10,SAFE,ticker_unique,Safehold Inc.,cusip_absent_from_crsp_window
0001130713,690370101,77659,07589610,,ticker_span,"NEIGHBORHOOD INTELLIGENCE, INC.",cusip_owned_by_other_permno
0001173313,0091F106,21828,00091F30,ABVC,ticker_unique,"ABVC BIOPHARMA, INC.",cusip_absent_from_crsp_window
0001300524,02687R205,66800,02687478,AIG,name_fallback,AMERICAN INTERNATIONAL HOLDINGS CORP.,cusip_absent_from_crsp_window
0001328792,878739101,23884,87873920,TPCS,ticker_unique,TECHPRECISION CORP,same_issuer_different_issue
0001369290,62857J102,16765,62857J20,MYO,ticker_unique,"MYOMO, INC.",same_issuer_different_issue
0001411579,00165C203,14328,00165C30,AMC,ticker_unique,"AMC ENTERTAINMENT HOLDINGS, INC.",same_issuer_different_issue
0001421461,46121Y102,92621,46121Y20,IPI,ticker_unique,"Intrepid Potash, Inc.",same_issuer_different_issue
0001482541,86887P101,22768,86887P30,BNC,ticker_unique,CEA Industries Inc.,same_issuer_different_issue
0001512922,716817200,21866,71681740,,ticker_unique,"PetVivo Holdings, Inc.",same_issuer_different_issue
0001527541,963025606,13700,96302578,WHLR,ticker_unique,"Wheeler Real Estate Investment Trust, Inc.",same_issuer_different_issue
0001593899,481116101,19939,04683R10,AVIR,ticker_unique,"Atea Pharmaceuticals, Inc.",cusip_owned_by_other_permno
0001595974,00386B109,14580,55955D10,MGNI,ticker_unique,"MAGNITE, INC.",cusip_owned_by_other_permno
0001596961,781386206,16999,78138630,RDNW,ticker_unique,"RideNow Group, Inc.",same_issuer_different_issue
0001630805,05614L100,15396,05614L20,BW,ticker_unique,"Babcock & Wilcox Enterprises, Inc.",same_issuer_different_issue
0001658566,701877102,16021,71424F10,PR,ticker_unique,Permian Resources Corp,cusip_owned_by_other_permno
0001674168,34966T107,16498,43283X10,HGV,ticker_unique,Hilton Grand Vacations Inc.,cusip_absent_from_crsp_window
0001709941,09072Q106,25550,09077V10,BIOA,ticker_unique,"BioAge Labs, Inc.",cusip_absent_from_crsp_window
0001747079,90171V204,18425,05875B10,,ticker_unique,Bally's Corp,cusip_absent_from_crsp_window
0001802450,553745126,19978,55374540,,ticker_unique,"MSP Recovery, Inc.",same_issuer_different_issue
0001820144,39854F119,20406,39854F10,GRND,ticker_unique,Grindr Inc.,same_issuer_different_issue
0001822791,G8959N130,20285,18563420,CLNN,ticker_unique,Clene Inc.,cusip_absent_from_crsp_window
0001834105,04529L106,25471,45259L20,IBO,ticker_unique,IMPACT BIOMEDICAL INC.,cusip_absent_from_crsp_window
0001836057,09260Q108,76963,11408230,ERNA,ticker_unique,BlackRock Technology & Private Equity Term Trust,cusip_owned_by_other_permno
0001855485,095428108,22380,32070340,CLDI,ticker_unique,"Calidi Biotherapeutics, Inc.",cusip_absent_from_crsp_window
0001857853,45339J105,21684,89269P10,COOK,ticker_unique,"Traeger, Inc.",cusip_owned_by_other_permno
0001883984,184493203,23012,02157G20,,ticker_unique,"Alternus Clean Energy, Inc.",cusip_absent_from_crsp_window
0001895262,G65431127,58836,65252620,NEWT,ticker_unique,Noble Corp plc,cusip_owned_by_other_permno
0001902733,0000002PX,19565,63947X10,NCNO,ticker_unique,"nCino, Inc.",non_equity_cusip_line
0001953926,055477103,25635,98937L10,ZBIO,ticker_unique,"Zenas BioPharma, Inc.",cusip_owned_by_other_permno
0001956648,12664M202,26151,12664M10,NOEM,ticker_unique,CO2 Energy Transition Corp.,same_issuer_different_issue
0001964504,04040Y109,22096,04041L10,,ticker_unique,Aris Mining Corp,cusip_owned_by_other_permno
0001964979,G02008102,24086,02008G20,ALUR,ticker_unique,"ALLURION TECHNOLOGIES, INC.",cusip_absent_from_crsp_window
0001997403,00098936T,25660,98936T20,ZENA,ticker_unique,"ZenaTech, Inc.",cusip_absent_from_crsp_window
0002085408,G3810N106,20805,85493620,SDST,ticker_unique,General Purpose Acquisition Corp.,cusip_absent_from_crsp_window
