permno,permco,last_date,grace_end,cusip8,holding_cusips,issuer_name,norm_name,source_accessions,candidate_ciks,submissions_name,latest_index_filing_date,latest_submissions_filing_date,cik,map_route,status
10051,7999,2022-10-04,2023-10-04,41043F20,41043F208,HANGER INC,HANGER,0001214717-21-000010;0001214717-22-000010,722723,"HANGER, INC.",2022-11-08,2022-11-08,722723,13f_name_unique,validated
10232,8158,2022-05-16,2023-05-16,28966010,,,,,,,,,,,cusip_absent
10239,714,2021-06-01,2022-06-01,74368L20,74368L203,PROTECTIVE INSURANCE CORP- B,PROTECTIVE INSURANCE CORP B,0001214717-21-000010,,,,,,,index_name_absent
10514,8431,2023-06-12,2024-06-11,48583710,,,,,,,,,,,cusip_absent
10781,8677,2023-09-15,2024-09-14,06506610,065066102,BANK OF SOUTH CAROLINA CORP,BANK OF SOUTH CAROLINA,0001214717-21-000010;0001214717-22-000010;0001214717-23-000010,1007273,BANK OF SOUTH CAROLINA CORP,2023-10-06,2023-10-06,1007273,13f_name_unique,validated
10909,8786,2022-06-08,2023-06-08,15678210,156782104,CERNER CORP,CERNER,0001214717-21-000010;0001214717-22-000010,804753,CERNER Corp,2022-06-23,2022-06-23,804753,13f_name_unique,validated
11006,8879,2025-06-02,2026-06-02,32073410,320734106,FIRST OF LONG ISLAND CORP,FIRST OF LONG ISLAND,0001214717-21-000010;0001214717-22-000010;0001214717-23-000010;0001214717-24-000006;0001214717-25-000006,740663,FIRST OF LONG ISLAND CORP,2025-07-15,2025-07-15,740663,13f_name_unique,validated
11043,8909,2024-12-13,2025-12-13,74437530,,,,,,,,,,,cusip_absent
11343,9188,2022-07-22,2023-07-22,80001310,800013104,SANDERSON FARMS INC,SANDERSON FARMS,0001214717-21-000010;0001214717-22-000010,812128,SANDERSON FARMS INC,2023-02-08,2023-02-08,812128,13f_name_unique,validated
11348,9193,2021-11-15,2022-11-15,15643210,156432106,CENTURY BANCORP INC -CL A,CENTURY BANCORP INC CL A,0001214717-21-000010,,,,,,,index_name_absent
11394,9235,2024-06-17,2025-06-17,88362L20,88362L209,THERMOGENESIS HOLDINGS INC,THERMOGENESIS,0001214717-24-000006,811212,"ThermoGenesis Holdings, Inc.",2025-01-06,2025-01-06,811212,13f_name_unique,validated
11441,9278,2021-02-26,2022-02-26,63637520,,,,,,,,,,,cusip_absent
11481,9312,2023-12-28,2024-12-27,27871520,278715206,EBIX INC,EBIX,0001214717-21-000010;0001214717-22-000010;0001214717-23-000010,814549,EBIX INC,2024-08-30,2024-08-30,814549,13f_name_unique,validated
11786,9588,2023-03-13,2024-03-12,78486Q10,78486Q101,SVB FINANCIAL GROUP,SVB FINANCIAL,0001214717-21-000010;0001214717-22-000010,719739,SVB FINANCIAL GROUP,2025-11-10,2025-11-10,,,filing_after_grace
11896,9698,2021-08-26,2022-08-26,57772K10,57772K101,MAXIM INTEGRATED PRODUCTS,MAXIM INTEGRATED PRODUCTS,0001214717-21-000010,743316,MAXIM INTEGRATED PRODUCTS INC,2021-09-07,2021-09-07,743316,13f_name_unique,validated
11992,9882,2021-06-09,2022-06-09,87230710,872307103,TCF FINANCIAL CORP,TCF FINANCIAL,0001214717-21-000010,19612,TCF FINANCIAL CORP,2021-06-21,2021-06-21,19612,13f_name_unique,validated
12073,9847,2022-04-04,2023-04-04,71270410,712704105,,,0001214717-21-000010;0001214717-22-000010,,,,,,,holding_name_ambiguous
12089,53497,2021-04-22,2022-04-22,75606N10,75606N109,REALPAGE INC,REALPAGE,0001214717-21-000010,1286225,"RealPage, Inc.",2021-05-03,2021-05-03,1286225,13f_name_unique,validated
12093,53500,2021-12-28,2022-12-28,21870Q10,21870Q105,CORESITE REALTY CORP,CORESITE REALTY,0001214717-21-000010,1490892,CoreSite Realty Corp,2022-02-11,2022-02-11,1490892,13f_name_unique,validated
12266,9899,2025-02-05,2026-02-05,05368M10,05368M106,AVID BIOSERVICES INC,AVID BIOSERVICES,0001214717-21-000010;0001214717-22-000010;0001214717-23-000010;0001214717-24-000006,704562,"Avid Bioservices, Inc.",2025-05-15,2025-05-15,704562,13f_name_unique,validated
12307,53510,2023-08-21,2024-08-20,03236M20,03236M200,AMYRIS INC,AMYRIS,0001214717-21-000010;0001214717-22-000010;0001214717-23-000010,1365916,"AMYRIS, INC.",2024-05-07,2024-05-07,1365916,13f_name_unique,validated
12310,53512,2024-04-19,2025-04-19,16948W20,16948W209,GREEN GIANT INC,GREEN GIANT,0001214717-23-000010;0001214717-24-000006,1158420,Green Giant Inc.,2024-09-25,2024-09-25,1158420,13f_name_unique,validated
