treated_permno,treated_accession,treated_td,treated_quarter,treated_sic2,treated_post,control_permno,match_group,mahalanobis_d2,control_logcap,control_logilliq,control_turnover,control_ret12m,control_idiovol
82526,0000921895-23-000151,2023-01-19,2023Q1,28,0,18257,0000921895-23-000151,0.0035159243981565105,11.39341531370796,-1.5108391497921834,1.0255437301658485,0.2764280040282756,0.0410471290074174
82526,0000921895-23-000151,2023-01-19,2023Q1,28,0,19176,0000921895-23-000151,0.024612106749050598,11.474036600748999,-1.7457960623141087,2.9083872237030746,0.5404000161215663,0.046705101537341934
82526,0000921895-23-000151,2023-01-19,2023Q1,28,0,78749,0000921895-23-000151,0.029476692324290135,10.855537629318956,-0.8011642731661385,0.12173575193249529,-0.3784890236565843,0.03838235020976255
19939,0001373604-24-000114,2024-12-13,2024Q4,28,1,15378,0001373604-24-000114,0.004273230640977043,12.549822337121617,-3.560434937199351,3.852392909955516,0.7459919914836064,0.043371659530265276
19939,0001373604-24-000114,2024-12-13,2024Q4,28,1,18257,0001373604-24-000114,0.014227552432351645,12.708969318077935,-3.67389031719547,0.9776032427365015,1.380666991812177,0.03342376883020894
19939,0001373604-24-000114,2024-12-13,2024Q4,28,1,18955,0001373604-24-000114,0.02364727141816831,12.7694922469284,-3.8524752062313543,0.6137252972100957,0.6128460231702775,0.07505870827484534
18554,0001437749-22-007518,2022-03-22,2022Q1,60,0,20660,0001437749-22-007518,0.024272230183840757,12.132032701831696,-0.13487120139564318,0.012413113753697467,-0.060689006996653916,0.016515097883087845
18554,0001437749-22-007518,2022-03-22,2022Q1,60,0,91083,0001437749-22-007518,0.043135392055608596,11.345785994843645,0.6307512596128941,0.04146309823120349,-0.11640900034399237,0.021462562406887965
18554,0001437749-22-007518,2022-03-22,2022Q1,60,0,16183,0001437749-22-007518,0.07928584388847724,11.561401865635325,0.22789330132797336,0.10660791830086086,0.04268299834802747,0.02456824416787316
88564,0001493152-22-003197,2022-01-27,2022Q1,38,0,88779,0001493152-22-003197,0.0017584307154084522,11.645142494197495,-4.006600528039315,1.1180643177590857,-1.094074994791299,0.03795086129610396
88564,0001493152-22-003197,2022-01-27,2022Q1,38,0,15961,0001493152-22-003197,0.013813256925108739,11.81477431309956,-4.169559981857261,0.7019322786699063,-0.4903680125134997,0.040775200723769195
88564,0001493152-22-003197,2022-01-27,2022Q1,38,0,15127,0001493152-22-003197,0.2907935129294917,11.90378577363924,-3.8108041916954325,1.205426416823977,-0.8040099949575961,0.03343369064884047
85293,0000921895-22-000996,2022-03-18,2022Q1,28,0,19993,0000921895-22-000996,0.02413394562365348,10.711561025477586,-2.8644831592926714,31.382624792000726,-1.1146040150197223,0.09498802838774749
85293,0000921895-22-000996,2022-03-18,2022Q1,28,0,89369,0000921895-22-000996,0.040126894330685954,10.432069593891331,-2.697038654484446,9.93677821014772,-1.5887060021050274,0.044771379263325736
85293,0000921895-22-000996,2022-03-18,2022Q1,28,0,87656,0000921895-22-000996,0.07148598230895739,10.63550466357846,-2.517850584964191,83.25034985745164,-1.3345139951561578,0.05433814396312272
19838,0001628280-23-001760,2023-01-30,2023Q1,35,0,51263,0001628280-23-001760,0.23957373765655432,13.009189416126945,-4.153850816373225,0.6266953399778684,0.17236200877232477,0.02457713757006654
18894,0001332596-23-000001,2023-05-22,2023Q2,28,0,34666,0001332596-23-000001,0.015241872117179707,10.19885427230557,-0.057108932226929435,0.34601756188160593,-0.6829380224808119,0.038571893904525284
18894,0001332596-23-000001,2023-05-22,2023Q2,28,0,13652,0001332596-23-000001,0.01572968301915441,10.248450427171433,-0.07235691817487912,2.7287007740147344,0.14723900341050467,0.05800908498625224
18894,0001332596-23-000001,2023-05-22,2023Q2,28,0,78749,0001332596-23-000001,0.020735125611205923,10.670552955105519,-0.5293752090636921,0.1292332032350232,-0.3509160073590465,0.03537782418090718
18368,0001749723-24-000095,2024-10-01,2024Q4,49,1,58334,0001749723-24-000095,0.03581613448400087,14.252448557605826,-6.858557167356808,0.17479789325522305,0.09316098809358664,0.01664586973650987
18368,0001749723-24-000095,2024-10-01,2024Q4,49,1,24969,0001749723-24-000095,0.14713331165456026,14.925145922021342,-7.494424650464966,0.17885911786426353,0.1769230019126553,0.013614596025577172
