sic2,quarter,treated_rows,pairs_requested,pairs_matched,pair_shortfall,treated_with_3_matches,treated_with_fewer_than_3
28,2021Q4,1,3,3,0,1,0
35,2021Q4,1,3,3,0,1,0
36,2021Q4,1,3,3,0,1,0
37,2021Q4,1,3,3,0,1,0
38,2021Q4,1,3,1,2,0,1
60,2021Q4,1,3,1,2,0,1
61,2021Q4,1,3,2,1,0,1
73,2021Q4,2,6,4,2,1,1
10,2022Q1,1,3,2,1,0,1
13,2022Q1,1,3,1,2,0,1
20,2022Q1,2,6,3,3,0,2
23,2022Q1,1,3,2,1,0,1
26,2022Q1,1,3,0,3,0,1
28,2022Q1,12,36,34,2,10,2
37,2022Q1,2,6,0,6,0,2
38,2022Q1,2,6,6,0,2,0
47,2022Q1,1,3,2,1,0,1
48,2022Q1,1,3,0,3,0,1
50,2022Q1,1,3,3,0,1,0
53,2022Q1,1,3,0,3,0,1
55,2022Q1,1,3,0,3,0,1
60,2022Q1,3,9,9,0,3,0
61,2022Q1,2,6,2,4,0,2
62,2022Q1,3,9,8,1,2,1
65,2022Q1,1,3,0,3,0,1
67,2022Q1,1,3,2,1,0,1
73,2022Q1,5,15,14,1,4,1
82,2022Q1,1,3,0,3,0,1
13,2022Q2,2,6,3,3,1,1
26,2022Q2,1,3,0,3,0,1
27,2022Q2,1,3,0,3,0,1
28,2022Q2,12,36,36,0,12,0
34,2022Q2,1,3,0,3,0,1
35,2022Q2,3,9,7,2,2,1
36,2022Q2,2,6,6,0,2,0
38,2022Q2,3,9,9,0,3,0
39,2022Q2,1,3,1,2,0,1
47,2022Q2,1,3,0,3,0,1
49,2022Q2,1,3,0,3,0,1
51,2022Q2,1,3,0,3,0,1
53,2022Q2,1,3,0,3,0,1
59,2022Q2,2,6,2,4,0,2
60,2022Q2,1,3,0,3,0,1
62,2022Q2,1,3,2,1,0,1
67,2022Q2,1,3,3,0,1,0
73,2022Q2,5,15,14,1,4,1
75,2022Q2,1,3,0,3,0,1
80,2022Q2,2,6,1,5,0,2
87,2022Q2,1,3,3,0,1,0
01,2022Q3,1,3,0,3,0,1
13,2022Q3,1,3,1,2,0,1
20,2022Q3,1,3,0,3,0,1
28,2022Q3,9,27,27,0,9,0
34,2022Q3,1,3,3,0,1,0
36,2022Q3,3,9,5,4,1,2
37,2022Q3,1,3,1,2,0,1
38,2022Q3,8,24,22,2,7,1
51,2022Q3,1,3,0,3,0,1
58,2022Q3,2,6,3,3,1,1
59,2022Q3,2,6,3,3,1,1
61,2022Q3,3,9,3,6,0,3
62,2022Q3,2,6,0,6,0,2
63,2022Q3,1,3,0,3,0,1
65,2022Q3,2,6,1,5,0,2
67,2022Q3,2,6,4,2,1,1
73,2022Q3,8,24,21,3,7,1
07,2022Q4,1,3,0,3,0,1
12,2022Q4,1,3,2,1,0,1
13,2022Q4,1,3,1,2,0,1
28,2022Q4,6,18,18,0,6,0
35,2022Q4,1,3,3,0,1,0
36,2022Q4,1,3,3,0,1,0
37,2022Q4,2,6,3,3,0,2
38,2022Q4,1,3,1,2,0,1
48,2022Q4,1,3,0,3,0,1
49,2022Q4,1,3,3,0,1,0
59,2022Q4,2,6,2,4,0,2
60,2022Q4,5,15,11,4,3,2
65,2022Q4,2,6,4,2,1,1
67,2022Q4,4,12,5,7,1,3
73,2022Q4,6,18,18,0,6,0
28,2023Q1,13,39,36,3,12,1
35,2023Q1,2,6,1,5,0,2
36,2023Q1,1,3,0,3,0,1
37,2023Q1,1,3,3,0,1,0
38,2023Q1,1,3,2,1,0,1
39,2023Q1,1,3,1,2,0,1
45,2023Q1,1,3,0,3,0,1
49,2023Q1,1,3,0,3,0,1
50,2023Q1,1,3,2,1,0,1
55,2023Q1,1,3,0,3,0,1
57,2023Q1,1,3,0,3,0,1
58,2023Q1,1,3,3,0,1,0
61,2023Q1,1,3,1,2,0,1
62,2023Q1,1,3,3,0,1,0
67,2023Q1,6,18,5,13,1,5
73,2023Q1,5,15,10,5,3,2
75,2023Q1,1,3,0,3,0,1
80,2023Q1,1,3,1,2,0,1
82,2023Q1,1,3,0,3,0,1
01,2023Q2,1,3,0,3,0,1
12,2023Q2,1,3,0,3,0,1
28,2023Q2,11,33,25,8,8,3
31,2023Q2,1,3,0,3,0,1
35,2023Q2,4,12,7,5,2,2
36,2023Q2,2,6,4,2,1,1
38,2023Q2,3,9,7,2,2,1
39,2023Q2,1,3,1,2,0,1
48,2023Q2,2,6,3,3,1,1
49,2023Q2,1,3,0,3,0,1
52,2023Q2,1,3,0,3,0,1
55,2023Q2,1,3,1,2,0,1
58,2023Q2,1,3,0,3,0,1
59,2023Q2,1,3,0,3,0,1
60,2023Q2,2,6,6,0,2,0
61,2023Q2,2,6,3,3,0,2
62,2023Q2,1,3,1,2,0,1
63,2023Q2,1,3,1,2,0,1
67,2023Q2,2,6,4,2,1,1
73,2023Q2,7,21,20,1,6,1
80,2023Q2,2,6,0,6,0,2
87,2023Q2,2,6,0,6,0,2
01,2023Q3,1,3,0,3,0,1
10,2023Q3,1,3,0,3,0,1
22,2023Q3,1,3,0,3,0,1
25,2023Q3,1,3,1,2,0,1
27,2023Q3,1,3,1,2,0,1
28,2023Q3,13,39,36,3,12,1
35,2023Q3,2,6,3,3,1,1
36,2023Q3,4,12,12,0,4,0
37,2023Q3,1,3,1,2,0,1
38,2023Q3,3,9,7,2,2,1
39,2023Q3,1,3,0,3,0,1
45,2023Q3,1,3,0,3,0,1
48,2023Q3,2,6,3,3,0,2
49,2023Q3,1,3,0,3,0,1
50,2023Q3,1,3,0,3,0,1
51,2023Q3,1,3,0,3,0,1
58,2023Q3,1,3,3,0,1,0
60,2023Q3,1,3,3,0,1,0
61,2023Q3,1,3,0,3,0,1
63,2023Q3,1,3,0,3,0,1
65,2023Q3,1,3,0,3,0,1
67,2023Q3,3,9,5,4,1,2
73,2023Q3,6,18,17,1,5,1
80,2023Q3,1,3,0,3,0,1
28,2023Q4,2,6,6,0,2,0
37,2023Q4,1,3,1,2,0,1
49,2023Q4,1,3,0,3,0,1
61,2023Q4,1,3,0,3,0,1
17,2024Q1,1,3,1,2,0,1
28,2024Q1,9,27,27,0,9,0
33,2024Q1,1,3,3,0,1,0
38,2024Q1,2,6,6,0,2,0
56,2024Q1,1,3,0,3,0,1
59,2024Q1,1,3,0,3,0,1
60,2024Q1,4,12,9,3,3,1
61,2024Q1,1,3,1,2,0,1
65,2024Q1,1,3,0,3,0,1
73,2024Q1,4,12,11,1,3,1
00,2024Q2,1,3,0,3,0,1
14,2024Q2,1,3,0,3,0,1
20,2024Q2,2,6,3,3,1,1
22,2024Q2,1,3,1,2,0,1
27,2024Q2,2,6,0,6,0,2
28,2024Q2,7,21,21,0,7,0
31,2024Q2,1,3,0,3,0,1
33,2024Q2,1,3,0,3,0,1
35,2024Q2,2,6,3,3,0,2
36,2024Q2,2,6,6,0,2,0
37,2024Q2,1,3,2,1,0,1
48,2024Q2,6,18,5,13,1,5
49,2024Q2,1,3,0,3,0,1
51,2024Q2,3,9,1,8,0,3
56,2024Q2,2,6,3,3,1,1
60,2024Q2,1,3,3,0,1,0
67,2024Q2,1,3,1,2,0,1
72,2024Q2,1,3,0,3,0,1
73,2024Q2,2,6,6,0,2,0
20,2024Q3,2,6,4,2,1,1
28,2024Q3,5,15,4,11,1,4
29,2024Q3,2,6,1,5,0,2
35,2024Q3,1,3,0,3,0,1
37,2024Q3,1,3,2,1,0,1
38,2024Q3,2,6,4,2,1,1
