pseudo_date,n_treated_pre,n_treated_post,two_sided_treated_support
2021-07-01,0,238,0
2021-07-02,0,238,0
2021-07-06,0,238,0
2021-07-07,0,238,0
2021-07-08,0,238,0
2021-07-09,0,238,0
2021-07-12,0,238,0
2021-07-13,0,238,0
2021-07-14,0,238,0
2021-07-15,0,238,0
2021-07-16,0,238,0
2021-07-19,0,238,0
2021-07-20,0,238,0
2021-07-21,0,238,0
2021-07-22,0,238,0
2021-07-23,0,238,0
2021-07-26,0,238,0
2021-07-27,0,238,0
2021-07-28,0,238,0
2021-07-29,0,238,0
2021-07-30,0,238,0
2021-08-02,0,238,0
2021-08-03,0,238,0
2021-08-04,0,238,0
2021-08-05,0,238,0
2021-08-06,0,238,0
2021-08-09,0,238,0
2021-08-10,0,238,0
2021-08-11,0,238,0
2021-08-12,0,238,0
2021-08-13,0,238,0
2021-08-16,0,238,0
2021-08-17,0,238,0
2021-08-18,0,238,0
2021-08-19,0,238,0
2021-08-20,0,238,0
2021-08-23,0,238,0
2021-08-24,0,238,0
2021-08-25,0,238,0
2021-08-26,0,238,0
2021-08-27,0,238,0
2021-08-30,0,238,0
2021-08-31,0,238,0
2021-09-01,0,238,0
2021-09-02,0,238,0
2021-09-03,0,238,0
2021-09-07,0,238,0
2021-09-08,0,238,0
2021-09-09,0,238,0
2021-09-10,0,238,0
2021-09-13,0,238,0
2021-09-14,0,238,0
2021-09-15,0,238,0
2021-09-16,0,238,0
2021-09-17,0,238,0
2021-09-20,0,238,0
2021-09-21,0,238,0
2021-09-22,0,238,0
2021-09-23,0,238,0
2021-09-24,0,238,0
2021-09-27,0,238,0
2021-09-28,0,238,0
2021-09-29,0,238,0
2021-09-30,0,238,0
2021-10-01,0,238,0
2021-10-04,0,238,0
2021-10-05,0,238,0
2021-10-06,0,238,0
2021-10-07,0,238,0
2021-10-08,0,238,0
2021-10-12,0,238,0
2021-10-13,0,238,0
2021-10-14,0,238,0
2021-10-15,0,238,0
2021-10-18,0,238,0
2021-10-19,0,238,0
2021-10-20,0,238,0
2021-10-21,0,238,0
2021-10-22,0,238,0
2021-10-25,0,238,0
2021-10-26,0,238,0
2021-10-27,0,238,0
2021-10-28,0,238,0
2021-10-29,0,238,0
2021-11-01,0,238,0
2021-11-02,0,238,0
2021-11-03,0,238,0
2021-11-04,0,238,0
2021-11-05,0,238,0
2021-11-08,0,238,0
2021-11-09,0,238,0
2021-11-10,0,238,0
2021-11-12,0,238,0
2021-11-15,0,238,0
2021-11-16,0,238,0
2021-11-17,0,238,0
2021-11-18,0,238,0
2021-11-19,0,238,0
2021-11-22,0,238,0
2021-11-23,0,238,0
2021-11-24,0,238,0
2021-11-26,0,238,0
2021-11-29,0,238,0
2021-11-30,0,238,0
2021-12-01,1,237,1
2021-12-02,1,237,1
2021-12-03,1,237,1
2021-12-06,1,237,1
2021-12-07,1,237,1
2021-12-08,1,237,1
2021-12-09,1,237,1
2021-12-10,1,237,1
2021-12-13,1,237,1
2021-12-14,2,236,1
2021-12-15,2,236,1
2021-12-16,2,236,1
2021-12-17,2,236,1
2021-12-20,2,236,1
2021-12-21,2,236,1
2021-12-22,2,236,1
2021-12-23,2,236,1
2021-12-27,2,236,1
2021-12-28,2,236,1
2021-12-29,4,234,1
2021-12-30,5,233,1
2022-01-03,10,228,1
2022-01-04,10,228,1
2022-01-05,10,228,1
2022-01-06,11,227,1
2022-01-07,12,226,1
2022-01-10,12,226,1
2022-01-11,13,225,1
2022-01-12,13,225,1
2022-01-13,13,225,1
2022-01-14,13,225,1
2022-01-18,13,225,1
2022-01-19,13,225,1
2022-01-20,13,225,1
2022-01-21,13,225,1
2022-01-24,13,225,1
2022-01-25,14,224,1
2022-01-26,15,223,1
2022-01-27,16,222,1
2022-01-28,19,219,1
2022-01-31,19,219,1
2022-02-01,19,219,1
2022-02-02,19,219,1
2022-02-03,20,218,1
2022-02-04,21,217,1
2022-02-07,22,216,1
2022-02-08,22,216,1
2022-02-09,22,216,1
2022-02-10,22,216,1
2022-02-11,22,216,1
2022-02-14,23,215,1
2022-02-15,24,214,1
2022-02-16,25,213,1
2022-02-17,25,213,1
2022-02-18,25,213,1
2022-02-22,25,213,1
2022-02-23,26,212,1
2022-02-24,29,209,1
2022-02-25,29,209,1
2022-02-28,29,209,1
2022-03-01,30,208,1
2022-03-02,30,208,1
2022-03-03,31,207,1
2022-03-04,31,207,1
2022-03-07,31,207,1
2022-03-08,32,206,1
2022-03-09,32,206,1
2022-03-10,32,206,1
2022-03-11,33,205,1
2022-03-14,34,204,1
2022-03-15,34,204,1
2022-03-16,35,203,1
2022-03-17,35,203,1
2022-03-18,35,203,1
2022-03-21,36,202,1
2022-03-22,38,200,1
2022-03-23,40,198,1
2022-03-24,40,198,1
2022-03-25,40,198,1
2022-03-28,40,198,1
2022-03-29,42,196,1
2022-03-30,42,196,1
2022-03-31,42,196,1
2022-04-01,43,195,1
2022-04-04,45,193,1
2022-04-05,47,191,1
2022-04-06,47,191,1
2022-04-07,47,191,1
2022-04-08,47,191,1
2022-04-11,47,191,1
2022-04-12,48,190,1
2022-04-13,50,188,1
2022-04-14,50,188,1
2022-04-15,51,187,1
2022-04-18,51,187,1
2022-04-19,51,187,1
2022-04-20,51,187,1
2022-04-21,52,186,1
2022-04-22,52,186,1
2022-04-25,52,186,1
2022-04-26,52,186,1
2022-04-27,52,186,1
2022-04-28,53,185,1
2022-04-29,53,185,1
2022-05-02,53,185,1
2022-05-03,54,184,1
2022-05-04,54,184,1
2022-05-05,54,184,1
2022-05-06,54,184,1
2022-05-09,55,183,1
2022-05-10,55,183,1
2022-05-11,55,183,1
2022-05-12,55,183,1
2022-05-13,56,182,1
2022-05-16,56,182,1
2022-05-17,56,182,1
2022-05-18,56,182,1
2022-05-19,58,180,1
2022-05-20,61,177,1
2022-05-23,62,176,1
2022-05-24,63,175,1
2022-05-25,63,175,1
2022-05-26,63,175,1
2022-05-27,63,175,1
2022-05-31,63,175,1
2022-06-01,64,174,1
2022-06-02,66,172,1
2022-06-03,67,171,1
2022-06-06,67,171,1
2022-06-07,67,171,1
2022-06-08,68,170,1
2022-06-09,68,170,1
2022-06-10,68,170,1
2022-06-13,68,170,1
2022-06-14,69,169,1
2022-06-15,69,169,1
2022-06-16,69,169,1
2022-06-17,69,169,1
2022-06-21,70,168,1
2022-06-22,73,165,1
2022-06-23,73,165,1
2022-06-24,73,165,1
2022-06-27,74,164,1
2022-06-28,74,164,1
2022-06-29,74,164,1
2022-06-30,74,164,1
2022-07-01,74,164,1
2022-07-05,76,162,1
2022-07-06,77,161,1
2022-07-07,78,160,1
2022-07-08,79,159,1
2022-07-11,79,159,1
2022-07-12,80,158,1
2022-07-13,80,158,1
2022-07-14,82,156,1
2022-07-15,83,155,1
2022-07-18,83,155,1
2022-07-19,83,155,1
2022-07-20,85,153,1
2022-07-21,85,153,1
2022-07-22,86,152,1
2022-07-25,87,151,1
2022-07-26,87,151,1
2022-07-27,88,150,1
2022-07-28,90,148,1
2022-07-29,90,148,1
2022-08-01,90,148,1
2022-08-02,90,148,1
2022-08-03,90,148,1
2022-08-04,90,148,1
2022-08-05,90,148,1
2022-08-08,90,148,1
2022-08-09,90,148,1
2022-08-10,92,146,1
2022-08-11,93,145,1
