case_id,window,parse_route,accession,excerpt,coded_trigger_date,coder
C001,post,text,0000807249-24-000141,"Investors, Inc. One Corporate Center Rye, New York 10580-1435 (914) 921-5000 &#160;(Name, Address and Telephone Number of Person Authorized to Receive Notices and Communications) _____________ October 11, 2024 ____________ (Date of Event which Requires Filing of this Statement) If the filing person has previously filed a statement on Schedule 1",,
C002,post,text,0000943374-24-000386,"26929P 107 (CUSIP Number) 109 West Second Street Kaukauna, Ohio 02492 (920) 766-4646 (Name, Address and Telephone Number of Person Authorized to Receive Notices and Communication) September 20, 2024 (Date of Event Which Requires Filing of This Statement) If the filing person has previously filed a statement on Schedule 13G to report",,
C003,post,text,0000947871-24-000767,"(Name, Address and Telephone Number of Person Authorized to Receive Notices and Communications) &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; September 16, 2024 (Date of Event which Requires Filing of this Statement) &nbsp; If the filing person has previously filed a statement on Schedule 13G to report t",,
C004,post,text,0000950157-24-001186,"(Name, Address and Telephone Number of Person Authorized to Receive Notices and Communications) &#160; September 3, 2024 (Date of Event which Requires Filing of this Statement) If the filing person has previously filed a",,
C005,post,text,0001062993-24-015985,"3 (CUSIP Number) Saba Capital Management, L.P. 405 Lexington Avenue 58th Floor New York, NY 10174 Attention: Michael D'Angelo (212) 542-4635 (Name, Address and Telephone Number of Person Authorized to Receive Notices and Communications) August 28, 2024 (Date of Event Which Requires Filing of This Statement) If the filing person has previously filed a statement on Schedule 13G to report the acquisiti",,
C006,post,text,0001104659-24-078572,"Patrice Walch-Watson c/o Canada Pension Plan Investment Board One Queen Street East, Suite&nbsp;2500 Toronto, ON M5C 2W5 Canada (416) 868-4075 (Name, Address and Telephone Number of Person Authorized to Receive Notices and Communications) &nbsp; July&nbsp;1, 2024 (Date of Event Which Requires Filing of This Statement) &nbsp; If the filing person has previously filed a statement on Schedule 13G to report the ac",,
C007,post,text,0001104659-24-078573,"bsp; (CUSIP Number) &nbsp; Bobby Saadati &nbsp; 1201 Louisiana Street, Suite&nbsp;3400 Houston, Texas 77002 (833) 706-0273 &nbsp; (Name, Address and Telephone Number of Person Authorized to Receive Notices and Communications) &nbsp; July&nbsp;1, 2024 &nbsp; (Date of Event Which Requires Filing of This Statement) &nbsp; If the filing person has previously filed a statement on Schedule 13G to report the ac",,
C008,post,text,0001104659-24-083555,") &nbsp; RA Capital Management, L.P. 200 Berkeley Street, 18th Floor Boston, MA 02116 Attn: Peter Kolchinsky Telephone: 617.778.2500 (Name, Address and Telephone Number of Person Authorized to Receive Notices and Communications) &nbsp; July&nbsp;22, 2024 (Date of Event Which Requires Filing of this Statement) &nbsp; If the filing person has previously filed a statement on Schedule 13G to report the a",,
C009,post,text,0001104659-24-102454,"of Class of Securities) &nbsp; 03062T105 (CUSIP NUMBER) &nbsp; Taki Vasilakis 130 Main St. 2 nd Floor New Canaan, CT 06840 (203) 308-4440 (Name, Address and Telephone Number of Person Authorized to Receive Notices and Communications) &nbsp; September 19, 2024 (Date of event which requires filing of this statement) &nbsp; If the filing person has previously filed a statement on Schedule 13G to report the ac",,
C010,post,text,0001104659-24-112490,"General Counsel Anchorage Lending CA, LLC P.O. Box - One Embarcadero Center #2409 San Francisco, CA 94216 (415) 941-6300 &nbsp; (Name, Address and Telephone Number of Person Authorized to Receive Notices and Communications) &nbsp; October 25, 2024 (Date of Event which Requires Filing of this Statement) &nbsp; If the filing person has previously filed a statement on Schedule 13G to report the ac",,
C011,post,text,0001104659-24-122623,"to: W. Raymond Felton Greenbaum, Rowe, Smith&nbsp;&amp; Davis LLP P.O.&nbsp;Box 5600 Woodbridge, New Jersey 07095 732-549-5600 (Name, Address and Telephone Number of Person Authorized to Receive Notices and Communications) &nbsp; November&nbsp;21, 2024 (Date of Event Which Requires Filing of this Statement) &nbsp; If the filing person has previously filed a statement on Schedule 13G to report the ac",,
C012,post,text,0001185185-24-001162,"bert 1375 East Ninth Street, 29th Floor Cleveland, Ohio 44114 216-736-7215 (Name, Address and Telephone Number of Person Authorized to Receive Notices and Communications) &nbsp; November 20, 2024 (Date of Event which Requires Filing of this Statement) &nbsp; If the filing person has previously filed a statement on Schedule&nbsp;13G",,
C013,post,text,0001193125-24-189027,"75 P101 (CUSIP Number) Joshua Peck c/o Sixth Street Partners, LLC 2100 McKinney Avenue Suite 1500 Dallas, Texas 75201 (469) 621-3001 (Name, Address and Telephone Number of Person Authorized to Receive Notices and Communications) July&nbsp;28, 2024 (Date of Event Which Requires Filing of this Statement) &nbsp; &nbsp; If the filing person has previously filed a statement on Schedule 13G to re",,
C014,post,text,0001193125-24-195497,"Securities) 02237A108 (CUSIP Number) ALLIANZ SE Michael Sieburg Koeniginstrasse 28 Munich, Germany 80802 Telephone: +49 89 3800 19957 (Name, Address and Telephone Number of Person Authorized to Receive Notices and Communications) July&nbsp;31, 2024 (Date of Event which Requires Filing of this Statement) &nbsp; &nbsp; If the filing person has previously filed a statement on Schedule 13G to re",,
C015,post,text,0001213900-24-071575,"Securities) &nbsp; G4491L104 (CUSIP Number) &nbsp; Howard W. Lutnick 110 East 59th Street New York, New York 10022 (212) 938-5000 (Name, Address and Telephone Number of Person Authorized to Receive Notices and Communications) &nbsp; August 14, 2024 (Date of Event which Requires Filing of this Statement) &nbsp; If the filing person has previously filed a statement on Schedule 13G to report the ac",,
C016,post,text,0001213900-24-080818,"200 Spectrum Center Drive, Suite 300 Irvine, California 92618 Phone: 949 -593-0250 (Name, Address, and Telephone Number of Person Authorized to Receive Notices and Communications) &nbsp; September 17, 2024 (Date of Event which Requires Filing of this Statement) &nbsp; If the filing person has previously filed a statement on Schedule 13G to report t",,
C017,post,text,0001213900-24-095937,"Planet New Energy Technology Limited Attn: Zongmin DING 12/F Infinitus Plaza, 199 Des Voeux Road Central, Sheung Wan, Hong Kong 212-556-2133 (Name, Address and Telephone Number of Person Authorized to Receive Notices and Communications) &nbsp; October 18, 2024 (Date of Event Which Requires Filing of this Statement) &nbsp; &nbsp; &nbsp; If the filing person has previously filed a statement",,
C018,post,text,0001213900-24-106581,"C The Victorians 15-18 Earlsfort Terrace Saint Kevin&rsquo;s D04 C5Y6 Dublin 2, D02 YX28, Ireland (Name, Address and Telephone Number of Person Authorized to Receive Notices and Communications) &nbsp; November 26, 2024 &nbsp; (Date of Event which Requires Filing of This Statement) &nbsp; If the filing person has previously filed a statement on Schedule 13G to report t",,
C019,post,text,0001493152-24-041340,"7 Mayflower Drive Basking Ridge, NJ 07920 Attn: Jeffrey J. Conroy (Name, Address and Telephone Number of Person Authorized to Receive Notices and Communications) &nbsp; October 9, 2024 (Date of Event Which Requires Filing of this Statement) &nbsp; If the filing person has previously filed a statement on Schedule 13G to repor",,
C020,post,text,0001829126-24-006444,"(CUSIP Number) &nbsp; Xiandai Tongxin Building 201 Xin Jinqiao Road, Rm 302 Pudong New District, Shanghai, China (Name, Address and Telephone Number of Person Authorized to Receive Notices and Communications) &nbsp; September&nbsp;13, 2024 (Date of Event Which Requires Filing of this Statement) &nbsp; &nbsp; &nbsp; If the filing person has previously filed a statement",,
C021,post,xml,0000898432-24-001047,LABEL NOT FOUND,,
C022,post,xml,0000921895-24-003013,LABEL NOT FOUND,,
C023,post,xml,0000950170-24-139216,LABEL NOT FOUND,,
C024,post,xml,0000950170-24-139801,LABEL NOT FOUND,,
C025,post,xml,0000950170-24-141152,LABEL NOT FOUND,,
C026,post,xml,0000950170-24-141272,LABEL NOT FOUND,,
C027,post,xml,0000950170-24-141277,LABEL NOT FOUND,,
C028,post,xml,0001007280-24-000008,LABEL NOT FOUND,,
C029,post,xml,0001062993-24-021281,LABEL NOT FOUND,,
C030,post,xml,0001095449-24-000098,LABEL NOT FOUND,,
C031,post,xml,0001104659-24-130738,LABEL NOT FOUND,,
C032,post,xml,0001213900-24-112044,LABEL NOT FOUND,,
C033,post,xml,0001290929-24-000002,LABEL NOT FOUND,,
C034,post,xml,0001373604-24-000114,LABEL NOT FOUND,,
C035,post,xml,0001384911-24-000007,LABEL NOT FOUND,,
C036,post,xml,0001437749-24-038167,LABEL NOT FOUND,,
C037,post,xml,0001665159-24-000001,LABEL NOT FOUND,,
C038,post,xml,0002022936-24-000016,LABEL NOT FOUND,,
C039,post,xml,0002035169-24-000001,LABEL NOT FOUND,,
C040,post,xml,0002046942-24-000002,LABEL NOT FOUND,,
C041,pre,text,0000060086-23-000140,"IP Number) Marc A. Alpert Senior Vice President, General Counsel and Secretary Loews Corporation 9 West 57th Street New York, New York 10019 (212) 521-2000 (Name, Address and Telephone Number of Person Authorized to Receive Notices and Communications) August 2, 2023 (Date of Event Which Requires Filing of this Statement) If the filing person has previously filed a statement on Schedule 13G to report the acquisi",,
C042,pre,text,0000897069-23-001176,"Number) George Cappy Bay Shore Trust 900 West Platt Street, Suite 200 Tampa, Florida 33606 (813) 369-5150 (Name, Address and Telephone Number of Person Authorized to Receive Notices and Communications) August 2, 2023 (Date of Event which Requires Filing of this Statement) If the filing person has previously filed a statement on Schedule 1",,
C043,pre,text,0000902664-23-004716,"z, Esq. Schulte Roth &amp; Zabel LLP 919 Third Avenue New York, New York 10022 (212) 756-2000 (Name, Address and Telephone Number of Person Authorized to Receive Notices and Communications) &nbsp; August 31, 2023 (Date of Event Which Requires Filing of This Statement) &nbsp; &nbsp; If the filing person has previously filed a statement on Schedul",,
C044,pre,text,0000950170-23-026946,"Securities) 39536G 105 (CUSIP Number) &#160; Serum Life Sciences Ltd 15 Grosvenor Street London England W1K 4QZ &#160; (Name, Address and Telephone Number of Person Authorized to Receive Notices and Communications) May 29, 2023 (Date of Event which Requires Filing of this Statement) If the filing person has previously filed a statement on Schedule 13G to r",,
C045,pre,text,0001068238-23-000182,"Title of Class of Securities) 45258H106 (CUSIP Number) GKCC, LLC 501 Silverside Road, Suite 87AVA Wilmington, DE 19809 (302) 992-8882 (Name, Address and Telephone Number of Person Authorized to Receive Notices and Communications) August 21, 2023 (Date of Event Which Requires Filing of This Statement) &#160; ________________________________________________________________________",,
C046,pre,text,0001104659-23-072905,"p; Adam D. Portnoy ABP Trust Two Newton Place, 255 Washington Street, Suite&nbsp;300 Newton, Massachusetts 02458-1634 (617) 928-1300 (Name, Address and Telephone Number of Person Authorized to Receive Notices and Communications) &nbsp; June&nbsp;7, 2023 (Date of Event Which Requires Filing of this Statement) &nbsp; If the filing person has previously filed a statement on Schedule 13G to report the a",,
C047,pre,text,0001104659-23-094229,"s) &nbsp; 00810F106 (CUSIP Number) &nbsp; James Fry 255 Alhambra Circle, Suite&nbsp;435 Coral Gables, FL 33134 (305) 764-3200 (Name, Address and Telephone Number of Person Authorized to Receive Notices and Communications) &nbsp; January&nbsp;27, 2021 (Date of Event Which Requires Filing of This Statement) &nbsp; If the filing person has previously filed a statement on Schedule 13G to report the ac",,
C048,pre,text,0001104659-23-097775,"Cyrus Moshiri 1633 Broadway, 48 th Floor New York, NY 10019 (212) 720-0300&#8239; (Name, Address and Telephone Number of Person Authorized to Receive Notices and Communications) &#8239; August&#8239;23, 2023 (Date of Event Which Requires Filing of this Statement) &#8239; If the filing person has previously filed a statement on Schedule 13G to report",,
C049,pre,text,0001140361-23-037975,"and Chief Operating Officer Monograph Capital Partners I, L.P. 4001 Kennett Pike Suite 302 Wilmington, Delaware 19807 (208) 720-9157 (Name, Address and Telephone Number of Person Authorized to Receive Notices and Communications) July 26, 2023 (Date of Event Which Requires Filing of this Statement) If the filing person has previously filed a statement on Schedule 13G to report",,
C050,pre,text,0001193125-23-167005,"201 with a copy to: Matthew L. Fry, Esq. Haynes and Boone, LLP 2323 Victory Avenue, Suite&nbsp;700 Dallas, Texas 75219 (214)&nbsp;651-5000 (Name, Address and Telephone Number of Person Authorized to Receive Notices and Communications) June&nbsp;8, 2023 (Date of Event which Requires Filing of this Statement) &nbsp; &nbsp; If the filing person has previously filed a statement on Schedule 13G to re",,
C051,pre,text,0001193125-23-184159,"nbsp;of Securities) 1814287 (CUSIP Number) Kevin Scott Kirby c/o Abacus Life, Inc. 2101 Park Center Drive, Suite 170 Orlando, Florida 32835 (Name, Address and Telephone Number of Person Authorized to Receive Notices and Communications) June&nbsp;30, 2023 (Date of Event Which Requires Filing of this Statement) &nbsp; &nbsp; If the filing person has previously filed a statement on Schedule 13G to re",,
