form,company,cik,date_filed,edgar_path,window,accession,filed,subject_cik,filer_cik,event,pct_of_class,has_xml,delay_bdays,delay_cdays
SC 13D,325 CAPITAL LLC,1873893,2023-06-09,edgar/data/1873893/0001214659-23-008382.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001214659-23-008382,2023-06-09,0000918251,0001873893,,1.4,False,,
SC 13D,"ACM Research, Inc.",1680062,2023-06-13,edgar/data/1680062/0001193805-23-000851.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001193805-23-000851,2023-06-13,0001680062,0001981092,2023-05-29,6.3,False,11.0,15.0
SC 13D,ALGONQUIN POWER & UTILITIES CORP.,1174169,2023-06-30,edgar/data/1174169/0001193805-23-000930.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001193805-23-000930,2023-06-30,0001174169,0001517137,2023-06-20,5.0,False,8.0,10.0
SC 13D,ALTA EQUIPMENT GROUP INC.,1759824,2023-05-19,edgar/data/1759824/0001193125-23-149422.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001193125-23-149422,2023-05-19,0001759824,0001767199,,5.0,False,,
SC 13D,"ATI Physical Therapy, Inc.",1815849,2023-06-26,edgar/data/1815849/0000950103-23-009277.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0000950103-23-009277,2023-06-26,0001815849,0000937226,2023-06-15,15.4,False,7.0,11.0
SC 13D,Apollomics Inc.,1944885,2023-04-12,edgar/data/1944885/0000947871-23-000450.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0000947871-23-000450,2023-04-12,0001944885,0001055951,2023-03-29,10.3,False,10.0,14.0
SC 13D,Atlantic Coastal Acquisition Corp. II,1893219,2023-04-20,edgar/data/1893219/0001193125-23-106986.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001193125-23-106986,2023-04-20,0001893219,0001893205,,65.8,False,,
SC 13D,Automobile Services Group Ltd,1978272,2023-05-30,edgar/data/1978272/0001213900-23-043991.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001213900-23-043991,2023-05-30,0001936804,0001978272,,77.4,False,,
SC 13D,BANK OF AMERICA CORP /DE/,70858,2023-06-07,edgar/data/70858/0001140361-23-028749.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001140361-23-028749,2023-06-07,0001258943,0000070858,2023-05-30,2.59,False,6.0,8.0
SC 13D,Black Robe Capital LLC,1977553,2023-05-23,edgar/data/1977553/0001193125-23-151524.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001193125-23-151524,2023-05-23,0001042418,0001977553,,11.7,False,,
SC 13D,Bleichroeder LP,1781002,2023-05-08,edgar/data/1781002/0001781002-23-000034.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001781002-23-000034,2023-05-08,0001036044,0001781002,2023-04-28,12.5,False,6.0,10.0
SC 13D,Bravo Multinational Inc.,1444839,2023-06-05,edgar/data/1444839/0001091818-23-000105.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001091818-23-000105,2023-06-05,0001444839,0001976045,2023-04-11,,False,39.0,55.0
SC 13D,Brewster David B,1399290,2023-06-13,edgar/data/1399290/0000950170-23-027597.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0000950170-23-027597,2023-06-13,0001822691,0001399290,2023-05-29,0.11,False,11.0,15.0
SC 13D,Burke Robert David,1973753,2023-04-14,edgar/data/1973753/0001477932-23-002546.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001477932-23-002546,2023-04-14,0001622057,0001973753,2023-04-14,16.7,False,0.0,0.0
SC 13D,CONTINENTAL GENERAL INSURANCE CO,24046,2023-04-24,edgar/data/24046/0000921895-23-000932.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0000921895-23-000932,2023-04-24,0001635984,0000024046,2023-04-24,1.0,False,0.0,0.0
