filer_cik,filer_name,filer_type,n_filings
1510281,"Saba Capital Management, L.P.",activist_hf,101
807249,"GAMCO INVESTORS, INC. ET AL",activist_hf,41
1352851,Magnetar Financial LLC,activist_hf,33
928785,STANDARD BANK OF SOUTH AFRICA LTD,other,21
70858,BANK OF AMERICA CORP /DE/,other,18
1517137,Starboard Value LP,activist_hf,16
1991451,"Galloway Capital Partners, LLC",activist_hf,16
769317,SIT INVESTMENT ASSOCIATES INC,other,15
1055951,ORBIMED ADVISORS LLC,activist_hf,14
1346824,"RA CAPITAL MANAGEMENT, L.P.",activist_hf,13
1380585,Radoff Bradley Louis,activist_hf,12
1504304,"Bulldog Investors, LLP",activist_hf,12
1232621,TANG CAPITAL MANAGEMENT LLC,activist_hf,11
1373604,"BML Investment Partners, L.P.",activist_hf,11
19617,JPMORGAN CHASE & CO,other,10
1263508,BAKER BROS. ADVISORS LP,other,10
1699737,"Samsara BioCapital, L.P.",activist_hf,10
72971,WELLS FARGO & COMPANY/MN,other,9
1017645,"GENERAL ATLANTIC, L.P.",other,9
1224962,PERCEPTIVE ADVISORS LLC,activist_hf,9
1007280,PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,other,8
1344146,"Toronto Dominion Investments, Inc.",other,8
896493,"BitNile Holdings, Inc.",corporate,7
904853,Amster Howard,other,7
921669,ICAHN CARL C,activist_hf,7
937797,MALONE JOHN C,other,7
1071351,EBRAHIMI FARHAD FRED,other,7
1523591,Universities Superannuation Scheme Ltd as sole corporate trustee for Universities Superannuation Scheme,other,7
1786767,Impactive Capital LP,activist_hf,7
1802528,Fairmount Funds Management LLC,other,7
1937147,"Funicular Funds, LP",activist_hf,7
918923,BIOTECHNOLOGY VALUE FUND L P,activist_hf,6
1048703,"Karpus Management, Inc.",activist_hf,6
1191935,TANG CAPITAL PARTNERS LP,activist_hf,6
1559771,Engaged Capital LLC,activist_hf,6
1580320,"ENGINE CAPITAL, L.P.",activist_hf,6
1687509,Rubric Capital Management LP,activist_hf,6
1767199,"Mill Road Capital III, L.P.",activist_hf,6
1794034,"Juniper Investment Company, LLC",activist_hf,6
1873893,325 CAPITAL LLC,activist_hf,6
1959730,"Fund 1 Investments, LLC",activist_hf,6
38777,FRANKLIN RESOURCES INC,other,5
922898,M&G INVESTMENT MANAGEMENT LTD,other,5
1001085,BROOKFIELD Corp /ON/,corporate,5
1058854,CANNELL CAPITAL LLC,activist_hf,5
1113303,STILWELL JOSEPH,activist_hf,5
1175707,"Farallon Capital Partners, L.P.",activist_hf,5
1360554,"Hoak Public Equities, LP",activist_hf,5
1362558,Abu Dhabi Investment Authority,other,5
1472322,"Nantahala Capital Management, LLC",activist_hf,5
1569147,"PL Capital Advisors, LLC",activist_hf,5
1569866,GLOBAL VALUE INVESTMENT CORP.,activist_hf,5
1595082,DAVIDSON KEMPNER CAPITAL MANAGEMENT LP,activist_hf,5
1607203,Eagle Point Credit Management LLC,other,5
1688522,"Philotimo Fund, LP",other,5
1727492,Caligan Partners LP,activist_hf,5
1780627,"Cincinnati Cornerstone Investors BWV I, LLC",other,5
1791786,Elliott Investment Management L.P.,activist_hf,5
1848809,Velan Capital Investment Management LP,activist_hf,5
1903793,"TPG GP A, LLC",other,5
1932843,Lazar David E.,other,5
2025889,"Tether Holdings, S.A. de C.V.",corporate,5
2037194,Oriental Moon Tree Ltd,other,5
820478,STRS OHIO,other,4
860662,"ANGELO GORDON & CO., L.P.",activist_hf,4
863748,ROYAL LONDON ASSET MANAGEMENT LTD,other,4
904532,RANKIN ALFRED M ET AL,other,4
1040273,Third Point LLC,activist_hf,4
1133639,NEW YORK LIFE INVESTMENT MANAGEMENT LLC,other,4
1261725,Chan Heng Fai Ambrose,other,4
1364742,BlackRock Inc.,other,4
1404073,Blackstone Holdings III L.P.,other,4
1409751,"Coliseum Capital Management, LLC",activist_hf,4
1422849,Capital World Investors,other,4
1441449,Qatar Investment Authority,other,4
1449433,"Apollo Management Holdings GP, LLC",other,4
1452857,STEEL PARTNERS HOLDINGS L.P.,corporate,4
1491072,Anson Funds Management LP,activist_hf,4
1493215,"RTW INVESTMENTS, LP",activist_hf,4
1497345,General Motors Holdings LLC,corporate,4
1535472,Corvex Management LP,activist_hf,4
1543151,"Uber Technologies, Inc",corporate,4
1587114,"EcoR1 Capital, LLC",activist_hf,4
1587987,"NewtekOne, Inc.",corporate,4
1627436,Sylebra Capital Ltd,activist_hf,4
1628353,"DJ Fund Investments, LLC - Series E",other,4
1640809,"22NW Fund, LP",activist_hf,4
1706220,"Kimmeridge Energy Management Company, LLC",activist_hf,4
1734341,Lynrock Lake LP,other,4
1758646,Investissement Quebec,other,4
1777459,Grover Vikram P,other,4
1781002,Bleichroeder LP,other,4
1820190,Scilex Holding Co,corporate,4
1853723,"SR ONE CAPITAL MANAGEMENT, LLC",other,4
1905374,Liberty 77 Capital L.P.,other,4
1915673,"Star Equity Fund, LP",corporate,4
1992355,Value Base Ltd.,other,4
1992686,"Invesco Realty, Inc.",other,4
2076786,Diveroli Investment Group LLC,other,4
29332,DIXIE GROUP INC,corporate,3
753308,NEXTERA ENERGY INC,corporate,3
919185,HIGHBRIDGE CAPITAL MANAGEMENT LLC,activist_hf,3
929607,CONTINENTAL GRAIN CO,corporate,3
941560,GARDNER LEWIS ASSET MANAGEMENT L P,other,3
1008382,LEDECKY JONATHAN J,other,3
1009268,"D. E. SHAW & CO, L.P.",activist_hf,3
1080910,HELU CARLOS SLIM,other,3
1103804,VIKING GLOBAL INVESTORS LP,activist_hf,3
1105838,ROBOTTI ROBERT,other,3
1131399,GSK PLC,corporate,3
1159159,JANA PARTNERS LLC,activist_hf,3
1163368,PACIFIC INVESTMENT MANAGEMENT CO LLC,other,3
1163648,CI INVESTMENTS INC.,other,3
1173879,MARCIANO PAUL,other,3
1183469,NORDSTROM ERIK B,other,3
1257391,WHITEBOX ADVISORS LLC,activist_hf,3
1279150,SCOPIA CAPITAL MANAGEMENT LP,activist_hf,3
1291984,CRUDEN STANLEY C,other,3
1308557,Economou George,other,3
1317904,Oasis Management Co Ltd.,activist_hf,3
1328920,Flawless Management Inc.,other,3
1333986,"Equitable Holdings, Inc.",corporate,3
1352546,Flynn James E,other,3
1383838,SHAH CAPITAL MANAGEMENT,activist_hf,3
1402258,Frischer Charles L,other,3
1418812,"VA Partners I, LLC",other,3
1451693,Katz Avi S,other,3
1461945,"JCP Investment Management, LLC",activist_hf,3
1464695,Blackstone Holdings I/II GP L.L.C.,other,3
1465109,Neuberger Berman Group LLC,other,3
1478982,"Altai Capital Management, L.P.",other,3
1482688,Sageworth Trust Co,other,3
1513689,Huang Shanchun,other,3
1516478,"Camac Fund, LP",activist_hf,3
1521365,Glencore plc,corporate,3
1524362,"Indaba Capital Management, L.P.",activist_hf,3
1525362,"HG Vora Capital Management, LLC",activist_hf,3
1527166,Carlyle Group Inc.,other,3
1531612,"Cove Street Capital, LLC",activist_hf,3
1535978,"Adage Capital Management, L.P.",activist_hf,3
1539281,"Forager Fund, L.P.",other,3
1543112,Morningside Venture Investments Ltd,other,3
1559834,Vizirgianakis Stavros G.,other,3
1604350,Glendon Capital Management LP,activist_hf,3
1607841,"SC US (TTGP), LTD.",other,3
1636349,Dubner Derek,other,3
1642575,Squarepoint Ops LLC,other,3
1655183,"Mudrick Capital Management, L.P.",activist_hf,3
1666682,"Edenbrook Capital, LLC",activist_hf,3
1679543,Phoenix Holdings Ltd.,other,3
1696663,Cohn Andrew M.,other,3
1704268,Mubadala Investment Co PJSC,other,3
1704720,"Cannae Holdings, Inc.",corporate,3
1705447,"GATE CITY CAPITAL MANAGEMENT, LLC",other,3
1708269,"Atlas Venture Fund XI, L.P.",other,3
1753037,"5AM Ventures VI, L.P.",other,3
1770141,"UpHealth, Inc.",corporate,3
1771346,Abra Marinvest Inc.,other,3
1785675,F9 Investments LLC,other,3
1796861,Maven Investment Partners US Ltd,other,3
1797633,KENNEDY LEWIS MANAGEMENT LP,other,3
1805833,"System1, Inc.",corporate,3
1817604,Activist Investing LLC,activist_hf,3
1823138,Two Seas Capital LP,other,3
1829169,"Longitude Capital Partners IV, LLC",other,3
1841077,"B. Riley Asset Management, LLC",other,3
1843099,Anglo Irish Management LLC,other,3
1846823,FiveT Investment Management Ltd,other,3
1853178,"Patriot Financial Partners IV, L.P.",other,3
1868329,"Castle Creek Capital Partners VIII, LP",other,3
1906837,"ARCH Venture Fund XII, L.P.",other,3
1910075,VNV (Cyprus) Ltd,other,3
1917895,"Growth Equity Opportunities 18 VGE, LLC",other,3
1939150,GK Partners ApS,other,3
1949751,Partner Colorado Credit Union,other,3
1953107,"Enavate Sciences GP, LLC",other,3
1963130,Sotirios Vahaviolos January 2023 2-Year Grantor Retained Annuity Trust,other,3
1970265,TORO 18 HOLDINGS LLC,other,3
1972703,"PGIM Strategic Investments, Inc.",other,3
1987877,Boos Wayne W,other,3
2001629,Burgauer James,other,3
2010692,Panacea Innovation Ltd,other,3
2011937,"Apollo Principal Holdings B GP, LLC",other,3
2012136,APO Corp.,other,3
2013085,Song Lianyue,other,3
2020621,Galkin Vladimir,other,3
2052113,BlackRock Portfolio Management LLC,other,3
2085856,Lucky Dog Holdings,other,3
9015,BARINGS LLC,other,2
24046,CONTINENTAL GENERAL INSURANCE CO,corporate,2
59478,ELI LILLY & Co,corporate,2
