accession,subject_cik,filer_cik,filer_name,permno,td,fd,fdstar,fdstar_how,post_td,gap_days,runup,jump,pre42,runup5,runup_trading_days,runup_fdeq,jump_fdeq,illiq,logcap,wlen_busdays,pct_of_class,logilliq,yq,liq,filer_type,sic2
0001214659-24-015452,0001616262,0002035146,"American Heritage Railways, Inc.",10044,2024-08-05,2024-08-28,2024-08-28,same-day,1,23,0.24357801622647862,0.0202821231729186,-0.01883257969685353,0.15086325240815482,17,0.24357801622647862,0.0202821231729186,0.8479291427468931,9.448396968983188,17.0,13.2,-0.1649582047628989,2024Q3,-0.6610552569421997,other,20
0001062993-23-017384,0000002230,0001510281,"Saba Capital Management, L.P.",10065,2023-08-31,2023-09-01,2023-09-01,same-day,0,1,0.004405728263840945,0.0065034798820124,0.012470129566174763,-0.008447328298483651,1,0.004405728263840945,0.0065034798820124,0.0028956006238713364,14.53900055373561,1.0,5.02,-5.844562720090367,2023Q3,1.1771167308139914,activist_hf,
0000921895-22-000341,0000794172,0001786767,Impactive Capital LP,10530,2022-01-25,2022-02-04,2022-02-04,same-day,0,10,0.010869316242217132,0.19345191970070302,0.15477353514053693,-0.017671715139006637,8,0.010869316242217132,0.19345191970070302,0.002739941651151704,13.722021540836057,8.0,9.9,-5.899818654009012,2022Q1,0.579060170332588,activist_hf,28
0001193125-25-328908,0000798081,0001569866,GLOBAL VALUE INVESTMENT CORP.,10645,2025-12-17,2025-12-22,2025-12-22,same-day,1,5,-0.04566545847576628,0.05693351882641502,-0.4120593733311298,0.060155468772459586,3,-0.04566545847576628,0.05693351882641502,0.012478999661488702,11.403410107677237,3.0,8.38,-4.383708074582897,2025Q4,0.3107157972766798,activist_hf,38
0000902664-25-004014,0001116463,0001478982,"Altai Capital Management, L.P.",10860,2025-09-02,2025-09-09,2025-09-09,same-day,1,7,-0.016513116440801758,0.0019007616466589529,0.058174392701246816,-0.016513116440801758,5,-0.016513116440801758,0.0019007616466589529,0.013473113793887794,12.406060480623516,5.0,5.13,-4.307059150175083,2025Q3,0.2090176766305552,other,38
0001104659-24-102454,0000799850,0001472322,"Nantahala Capital Management, LLC",11174,2024-09-19,2024-09-24,2024-09-24,same-day,1,5,-0.16342134237248648,0.025909584990036903,-0.23700519072860893,-0.147998112312927,3,-0.16342134237248648,0.025909584990036903,0.006128363760017429,12.673404991323084,3.0,6.7,-5.09482748798944,2024Q3,0.6297357147330903,activist_hf,55
0001744329-24-000003,0000811641,0001744329,"SRK FUND I, LP",11292,2024-05-22,2024-05-22,2024-05-22,same-day,1,0,0.0,-0.03759388176326353,-0.08335476292059389,-0.08400532826946175,0,0.0,-0.03759388176326353,0.609219482809125,10.532032209910415,0.0,5.0,-0.49557667749889783,2024Q2,-0.9438486784906285,activist_hf,28
0001193805-22-000591,0001337619,0001786767,Impactive Capital LP,11370,2022-03-31,2022-04-06,2022-04-06,same-day,0,6,-0.005322810113048991,0.11996436012824531,0.07195016056585385,0.1130933658205582,4,-0.005322810113048991,0.11996436012824531,0.0006384526913211574,15.223412582987809,4.0,5.0,-7.356462978703992,2022Q1,1.204365054605817,activist_hf,73
0000921895-24-001466,0000813298,0001959730,"Fund 1 Investments, LLC",11379,2024-06-26,2024-06-26,2024-06-26,same-day,1,0,0.0,-0.015904559628254367,0.07043983194795297,-0.0048127603671795725,0,0.0,-0.015904559628254367,0.02000679994088462,12.227857865014526,0.0,9.8,-3.9116830661698123,2024Q2,0.31580128579063227,activist_hf,56
0001193125-25-239221,0000814676,0001569866,GLOBAL VALUE INVESTMENT CORP.,11511,2025-10-07,2025-10-14,2025-10-14,same-day,1,7,0.20621325075060656,-0.029307622470804123,-0.10915858918532481,0.20621325075060656,5,0.20621325075060656,-0.029307622470804123,0.12884919756149543,10.856467526862886,4.0,7.51,-2.0491125695981847,2025Q4,-0.5518878758285685,activist_hf,32
0001193805-25-001231,0000701347,0001724246,"HoldCo Asset Management, LP",11628,2025-08-15,2025-08-22,2025-08-22,same-day,1,7,0.04097619846654965,0.07585070039421055,-0.08218800019667362,0.04097619846654965,5,0.04097619846654965,0.07585070039421055,0.0028964075340412996,13.494829147409375,5.0,5.7,-5.844284091278672,2025Q3,0.7494793215169067,activist_hf,60
0000921895-23-000284,0000818033,0001687509,Rubric Capital Management LP,11636,2023-01-25,2023-02-06,2023-02-06,same-day,0,12,-0.04271738017139963,0.07773082137970552,0.2319221106920675,-0.06549873417897357,8,-0.04271738017139963,0.07773082137970552,0.006034671445235654,12.769985615909192,8.0,9.9,-5.11023386746631,2023Q1,1.0472868499807275,activist_hf,28
0000921895-25-000712,0001386278,0001452857,STEEL PARTNERS HOLDINGS L.P.,11664,2025-02-28,2025-03-07,2025-03-07,same-day,1,7,-0.06067245679843556,0.06430249120019887,-0.05730676253021423,-0.06067245679843556,5,-0.06067245679843556,0.06430249120019887,0.004196027497248257,13.032853244759808,5.0,5.7,-5.47361703526454,2025Q1,0.6004827254262816,corporate,61
0000807249-22-000100,0000768411,0000807249,"GAMCO INVESTORS, INC. ET AL",11825,2022-08-12,2022-08-22,2022-08-22,same-day,0,10,0.005358603532820824,0.0385796258033037,0.06557022592844466,-0.014064563207649492,6,0.005358603532820824,0.0385796258033037,0.011340239469401908,12.628211963122732,6.0,3.68,-4.479397863674288,2022Q3,0.670449881995886,activist_hf,38
0001062993-23-007306,0001490286,0001510281,"Saba Capital Management, L.P.",12015,2023-03-17,2023-03-21,2023-03-22,next-day,0,4,0.0014081735911050403,-0.0340938266553893,-0.04476627174910551,-0.03958519834522575,3,-0.005491371689836454,-0.004671821528200903,0.02010577645163281,12.1526971849383,3.0,10.12,-3.90674811955108,2023Q1,0.5950674262443985,activist_hf,
0000897101-24-000234,0001410428,0002026867,"CPC Pain & Wellness SPV, LLC",12017,2024-06-10,2024-06-17,2024-06-17,same-day,1,7,0.5101520761090643,-0.20283816728331014,-0.07881553913261716,0.5101520761090643,5,0.5101520761090643,-0.20283816728331014,2.063995346048755,8.827363986260869,5.0,9.42,0.7246435927954344,2024Q2,-1.3937908773018128,activist_hf,72
0002064726-25-000001,0000707179,0002064726,Otto Bremer Trust,12068,2025-05-01,2025-05-07,2025-05-07,same-day,1,6,0.010249924855770687,0.009980533115455928,-0.02299751427624682,0.010688444699242742,4,0.010249924855770687,0.009980533115455928,0.00026423585618634104,15.710560137038438,4.0,11.7,-8.238668459012192,2025Q2,1.7798034718635454,other,60
0000897101-22-000685,0001488917,0001266296,SKARVAN KATHLEEN,12078,2022-07-01,2022-07-11,2022-07-11,same-day,0,10,-0.0012556422920581012,-0.06805802743009118,-0.14838083393135115,-0.0012556422920581012,5,-0.0012556422920581012,-0.06805802743009118,0.1998541058778224,11.405475545806132,5.0,5.4,-1.6101676492381356,2022Q3,-0.4497378926469083,other,38
0000950170-24-141152,0000814586,0001825471,Danone S.A.,12209,2024-12-30,2024-12-30,2024-12-30,same-day,1,0,0.0,0.11756828790331693,-0.08244863785265955,-0.02605263112041016,0,0.0,0.11756828790331693,0.007828948446387913,12.736345068587186,0.0,23.3,-4.849927076032963,2024Q4,0.48735125304981497,other,20
0001104659-25-099810,0001499961,0002041834,Winvest Investment Fund Management Corp.,12350,2025-10-10,2025-10-15,2025-10-15,same-day,1,5,-0.8002920664547373,,-0.8489777787529043,-0.8002920664547373,3,-0.8002920664547373,,0.02216777035246985,8.872038462524035,2.0,0.0,-3.8091158308909505,2025Q4,0.09841119080922904,activist_hf,37
0001213900-22-045465,0001213660,0001858293,Oudom Fnu,12358,2022-07-20,2022-08-08,2022-08-08,same-day,0,19,0.25227827609225534,-0.009668831480404594,0.6942637544960072,-0.015524062216178261,13,0.25227827609225534,-0.009668831480404594,0.4336748776595972,9.557773037333565,13.0,44.09,-0.8354601554362844,2022Q3,-0.7521945791528154,other,51
0001858293-24-000006,0001213660,0001858293,Oudom Fnu,12358,2024-05-21,2024-06-17,2024-06-17,same-day,1,27,0.47289452725966574,-0.17762417780998546,-0.13144978189501416,-0.22243956723613756,18,0.47289452725966574,-0.17762417780998546,0.9503733744254238,9.642408461878881,18.0,84.1,-0.05090034589095203,2024Q2,-1.1078179644251336,other,51
