quarter,n_filings,n_trigger,parse_rate
2022Q1,319,216,0.677115987460815
2022Q2,266,202,0.7593984962406015
2022Q3,324,257,0.7932098765432098
2022Q4,255,175,0.6862745098039216
2023Q1,295,208,0.7050847457627119
2023Q2,310,213,0.6870967741935484
2023Q3,306,214,0.6993464052287581
2023Q4,349,259,0.7421203438395415
2024Q1,313,241,0.7699680511182109
2024Q2,266,215,0.8082706766917294
2024Q3,241,171,0.7095435684647303
2024Q4,280,224,0.8
2025Q1,269,269,1.0
2025Q2,273,273,1.0
2025Q3,278,278,1.0
2025Q4,295,295,1.0
