kappa,k1,k0,kD,delta_min,base,act
0.0500000000,-0.0843303455,1.2001986176,2.0262509293,0.0082179895,0.0044395454,0.0037784442
0.0764705882,0.0189982085,1.1990319620,1.9193758677,0.0084723373,0.0047708475,0.0037014899
0.1029411765,0.0912245165,1.1978778400,1.8419772879,0.0086735968,0.0050365710,0.0036370258
0.1294117647,0.1463963076,1.1967211811,1.7806138263,0.0088360414,0.0052576345,0.0035784069
0.1558823529,0.1907017841,1.1955535521,1.7293447741,0.0089681069,0.0054460744,0.0035220326
0.1823529412,0.2274290965,1.1943691923,1.6850066749,0.0090753476,0.0056096899,0.0034656577
0.2088235294,0.2585410023,1.1931637962,1.6457121307,0.0091616365,0.0057539149,0.0034077217
0.2352941176,0.2853085481,1.1919340919,1.6102460092,0.0092297618,0.0058827219,0.0033470399
0.2617647059,0.3086079288,1.1906777224,1.5777834069,0.0092817633,0.0059991123,0.0032826511
0.2882352941,0.3290754041,1.1893932684,1.5477434057,0.0093191440,0.0061054029,0.0032137411
0.3147058824,0.3471950137,1.1880803469,1.5197071404,0.0093430138,0.0062034033,0.0031396106
0.3411764706,0.3633515001,1.1867397509,1.4933690378,0.0093541987,0.0062945295,0.0030596692
0.3676470588,0.3778638328,1.1853736037,1.4685062858,0.0093533307,0.0063798811,0.0029734496
0.3941176471,0.3910071505,1.1839855043,1.4449587753,0.0093409276,0.0064602946,0.0028806330
0.4205882353,0.4030272943,1.1825806357,1.4226152151,0.0093174688,0.0065363836,0.0027810851
0.4470588235,0.4141502328,1.1811658102,1.4014028906,0.0092834660,0.0066085728,0.0026748932
0.4735294118,0.4245876972,1.1797494227,1.3812795230,0.0092395291,0.0066771279,0.0025624012
0.5000000000,0.4345398229,1.1783412923,1.3622262663,0.0091864212,0.0067421865,0.0024442347
0.5264705882,0.4441953962,1.1769523858,1.3442413038,0.0091250976,0.0068037898,0.0023213077
0.5529411765,0.4537299748,1.1755944044,1.3273335723,0.0090567217,0.0068619155,0.0021948062
0.5794117647,0.4633027750,1.1742792997,1.3115168622,0.0089826538,0.0069165095,0.0020661442
0.6058823529,0.4730528406,1.1730187567,1.2968043367,0.0089044106,0.0069675162,0.0019368944
0.6323529412,0.4830943512,1.1718236041,1.2832030356,0.0088235953,0.0070149035,0.0018086918
0.6588235294,0.4935134682,1.1707034138,1.2707100911,0.0087418119,0.0070586810,0.0016831309
0.6852941176,0.5043654462,1.1696661239,1.2593093790,0.0086605674,0.0070989096,0.0015616578
0.7117647059,0.5156740614,1.1687179077,1.2489701566,0.0085811829,0.0071357033,0.0014454796
0.7382352941,0.5274321614,1.1678631329,1.2396465994,0.0085047184,0.0071692238,0.0013354947
0.7647058824,0.5396059069,1.1671047158,1.2312803826,0.0084319387,0.0071996663,0.0012322724
0.7911764706,0.5521374152,1.1664442196,1.2238018913,0.0083632897,0.0072272489,0.0011360408
0.8176470588,0.5649514222,1.1658823968,1.2171348679,0.0082989283,0.0072521941,0.0010467342
0.8441176471,0.5779608113,1.1654195555,1.2112002326,0.0082387678,0.0072747157,0.0009640521
0.8705882353,0.5910722078,1.1650559149,1.2059201374,0.0081825419,0.0072950072,0.0008875347
0.8970588235,0.6041909571,1.1647918851,1.2012216975,0.0081298781,0.0073132338,0.0008166442
0.9235294118,0.6172253243,1.1646282779,1.1970402586,0.0080803713,0.0073295289,0.0007508425
0.9500000000,0.6300891534,1.1645663618,1.1933214940,0.0080336461,0.0073439932,0.0006896529
