kappa,eta_1,eta_0,label,delta_min
0.2500000000,0.5000000000,0.5000000000,Uninformative,0.0087553910
0.2800000000,0.5000000000,0.5000000000,Uninformative,0.0088197768
0.3100000000,0.5000000000,0.5000000000,Uninformative,0.0088808508
0.3400000000,0.5000000000,0.5000000000,Uninformative,0.0089385324
0.3700000000,0.5000000000,0.5000000000,Uninformative,0.0089927505
0.4000000000,0.5000000000,0.5000000000,Uninformative,0.0090434443
0.4300000000,0.5000000000,0.5000000000,Uninformative,0.0090905640
0.4600000000,0.5000000000,0.5000000000,Uninformative,0.0091340717
0.4900000000,0.5000000000,0.5000000000,Uninformative,0.0091739420
0.5200000000,0.5000000000,0.5000000000,Uninformative,0.0092101624
0.5500000000,0.5000000000,0.5000000000,Uninformative,0.0092427333
0.5800000000,0.5000000000,0.5000000000,Uninformative,0.0092716685
0.6100000000,0.5000000000,0.5000000000,Uninformative,0.0092969940
0.6400000000,0.5000000000,0.5000000000,Uninformative,0.0093187482
0.6700000000,0.5000000000,0.5000000000,Uninformative,0.0093369802
0.7000000000,0.5000000000,0.5000000000,Uninformative,0.0093517486
0.7300000000,0.5000000000,0.5000000000,Uninformative,0.0093631196
0.7600000000,0.5000000000,0.5000000000,Uninformative,0.0093711644
0.7900000000,0.5000000000,0.5000000000,Uninformative,0.0093759565
0.8200000000,0.5000000000,0.5000000000,Uninformative,0.0093775675
0.8500000000,0.5000000000,0.5000000000,Uninformative,0.0093760635
0.2500000000,0.7500000000,0.2500000000,Moderate,0.0084399295
0.2800000000,0.7500000000,0.2500000000,Moderate,0.0084954544
0.3100000000,0.7500000000,0.2500000000,Moderate,0.0085468405
0.3400000000,0.7500000000,0.2500000000,Moderate,0.0085940790
0.3700000000,0.7500000000,0.2500000000,Moderate,0.0086371880
0.4000000000,0.7500000000,0.2500000000,Moderate,0.0086762122
0.4300000000,0.7500000000,0.2500000000,Moderate,0.0087112214
0.4600000000,0.7500000000,0.2500000000,Moderate,0.0087423088
0.4900000000,0.7500000000,0.2500000000,Moderate,0.0087695887
0.5200000000,0.7500000000,0.2500000000,Moderate,0.0087931940
0.5500000000,0.7500000000,0.2500000000,Moderate,0.0088132730
0.5800000000,0.7500000000,0.2500000000,Moderate,0.0088299869
0.6100000000,0.7500000000,0.2500000000,Moderate,0.0088435058
0.6400000000,0.7500000000,0.2500000000,Moderate,0.0088540063
0.6700000000,0.7500000000,0.2500000000,Moderate,0.0088616680
0.7000000000,0.7500000000,0.2500000000,Moderate,0.0088666705
0.7300000000,0.7500000000,0.2500000000,Moderate,0.0088691901
0.7600000000,0.7500000000,0.2500000000,Moderate,0.0088693976
0.7900000000,0.7500000000,0.2500000000,Moderate,0.0088674548
0.8200000000,0.7500000000,0.2500000000,Moderate,0.0088635119
0.8500000000,0.7500000000,0.2500000000,Moderate,0.0088577045
0.2500000000,0.9500000000,0.0500000000,Precise,0.0077135742
0.2800000000,0.9500000000,0.0500000000,Precise,0.0077268019
0.3100000000,0.9500000000,0.0500000000,Precise,0.0077383928
0.3400000000,0.9500000000,0.0500000000,Precise,0.0077488746
0.3700000000,0.9500000000,0.0500000000,Precise,0.0077585791
0.4000000000,0.9500000000,0.0500000000,Precise,0.0077676998
0.4300000000,0.9500000000,0.0500000000,Precise,0.0077763367
0.4600000000,0.9500000000,0.0500000000,Precise,0.0077845282
0.4900000000,0.9500000000,0.0500000000,Precise,0.0077922732
0.5200000000,0.9500000000,0.0500000000,Precise,0.0077995466
0.5500000000,0.9500000000,0.0500000000,Precise,0.0078063090
0.5800000000,0.9500000000,0.0500000000,Precise,0.0078125143
0.6100000000,0.9500000000,0.0500000000,Precise,0.0078181129
0.6400000000,0.9500000000,0.0500000000,Precise,0.0078230552
0.6700000000,0.9500000000,0.0500000000,Precise,0.0078272928
0.7000000000,0.9500000000,0.0500000000,Precise,0.0078307795
0.7300000000,0.9500000000,0.0500000000,Precise,0.0078334715
0.7600000000,0.9500000000,0.0500000000,Precise,0.0078353275
0.7900000000,0.9500000000,0.0500000000,Precise,0.0078363083
0.8200000000,0.9500000000,0.0500000000,Precise,0.0078363765
0.8500000000,0.9500000000,0.0500000000,Precise,0.0078354954
