kappa,C0,delta_min
0.2500000000,0.2400000000,0.0094092170
0.2800000000,0.2400000000,0.0094817205
0.3100000000,0.2400000000,0.0095388991
0.3400000000,0.2400000000,0.0095824367
0.3700000000,0.2400000000,0.0096136433
0.4000000000,0.2400000000,0.0096335719
0.4300000000,0.2400000000,0.0096431137
0.4600000000,0.2400000000,0.0096430820
0.4900000000,0.2400000000,0.0096342823
0.5200000000,0.2400000000,0.0096175657
0.5500000000,0.2400000000,0.0095938623
0.5800000000,0.2400000000,0.0095641866
0.6100000000,0.2400000000,0.0095296158
0.6400000000,0.2400000000,0.0094912402
0.6700000000,0.2400000000,0.0094500959
0.7000000000,0.2400000000,0.0094070899
0.7300000000,0.2400000000,0.0093629318
0.7600000000,0.2400000000,0.0093180907
0.7900000000,0.2400000000,0.0092727708
0.8200000000,0.2400000000,0.0092269280
0.8500000000,0.2400000000,0.0091803132
0.2500000000,0.2500000000,0.0092605357
0.2800000000,0.2500000000,0.0093090078
0.3100000000,0.2500000000,0.0093397181
0.3400000000,0.2500000000,0.0093539617
0.3700000000,0.2500000000,0.0093526882
0.4000000000,0.2500000000,0.0093366529
0.4300000000,0.2500000000,0.0093065580
0.4600000000,0.2500000000,0.0092631837
0.4900000000,0.2500000000,0.0092075059
0.5200000000,0.2500000000,0.0091407872
0.5500000000,0.2500000000,0.0090646264
0.5800000000,0.2500000000,0.0089809546
0.6100000000,0.2500000000,0.0088919671
0.6400000000,0.2500000000,0.0087999994
0.6700000000,0.2500000000,0.0087073615
0.7000000000,0.2500000000,0.0086161607
0.7300000000,0.2500000000,0.0085281434
0.7600000000,0.2500000000,0.0084445840
0.7900000000,0.2500000000,0.0083662498
0.8200000000,0.2500000000,0.0082934138
0.8500000000,0.2500000000,0.0082259450
0.2500000000,0.3500000000,0.0071974509
0.2800000000,0.3500000000,0.0072508649
0.3100000000,0.3500000000,0.0072972373
0.3400000000,0.3500000000,0.0073376865
0.3700000000,0.3500000000,0.0073731112
0.4000000000,0.3500000000,0.0074042474
0.4300000000,0.3500000000,0.0074317091
0.4600000000,0.3500000000,0.0074560150
0.4900000000,0.3500000000,0.0074776082
0.5200000000,0.3500000000,0.0074968712
0.5500000000,0.3500000000,0.0075141350
0.5800000000,0.3500000000,0.0075296875
0.6100000000,0.3500000000,0.0075437782
0.6400000000,0.3500000000,0.0075566218
0.6700000000,0.3500000000,0.0075684007
0.7000000000,0.3500000000,0.0075792658
0.7300000000,0.3500000000,0.0075893373
0.7600000000,0.3500000000,0.0075987047
0.7900000000,0.3500000000,0.0076074261
0.8200000000,0.3500000000,0.0076155287
0.8500000000,0.3500000000,0.0076230090
0.2500000000,0.4000000000,0.0071236104
0.2800000000,0.4000000000,0.0071810677
0.3100000000,0.4000000000,0.0072312502
0.3400000000,0.4000000000,0.0072752713
0.3700000000,0.4000000000,0.0073140285
0.4000000000,0.4000000000,0.0073482588
0.4300000000,0.4000000000,0.0073785776
0.4600000000,0.4000000000,0.0074055053
0.4900000000,0.4000000000,0.0074294877
0.5200000000,0.4000000000,0.0074509098
0.5500000000,0.4000000000,0.0074701074
0.5800000000,0.4000000000,0.0074873744
0.6100000000,0.4000000000,0.0075029691
0.6400000000,0.4000000000,0.0075171181
0.6700000000,0.4000000000,0.0075300191
0.7000000000,0.4000000000,0.0075418419
0.7300000000,0.4000000000,0.0075527293
0.7600000000,0.4000000000,0.0075627960
0.7900000000,0.4000000000,0.0075721285
0.8200000000,0.4000000000,0.0075807838
0.8500000000,0.4000000000,0.0075887884
