kappa,delta,delta_min
0.2500000000,0.9300000000,0.0091622498
0.2800000000,0.9300000000,0.0091950048
0.3100000000,0.9300000000,0.0092081830
0.3400000000,0.9300000000,0.0092028111
0.3700000000,0.9300000000,0.0091795922
0.4000000000,0.9300000000,0.0091390847
0.4300000000,0.9300000000,0.0090818768
0.4600000000,0.9300000000,0.0090087548
0.4900000000,0.9300000000,0.0089208564
0.5200000000,0.9300000000,0.0088197904
0.5500000000,0.9300000000,0.0087076979
0.5800000000,0.9300000000,0.0085872387
0.6100000000,0.9300000000,0.0084614850
0.6400000000,0.9300000000,0.0083337350
0.6700000000,0.9300000000,0.0082072650
0.7000000000,0.9300000000,0.0080850663
0.7300000000,0.9300000000,0.0079696135
0.7600000000,0.9300000000,0.0078627005
0.7900000000,0.9300000000,0.0077653918
0.8200000000,0.9300000000,0.0076780445
0.8500000000,0.9300000000,0.0076175783
0.2500000000,0.9500000000,0.0092605357
0.2800000000,0.9500000000,0.0093090078
0.3100000000,0.9500000000,0.0093397181
0.3400000000,0.9500000000,0.0093539617
0.3700000000,0.9500000000,0.0093526882
0.4000000000,0.9500000000,0.0093366529
0.4300000000,0.9500000000,0.0093065580
0.4600000000,0.9500000000,0.0092631837
0.4900000000,0.9500000000,0.0092075059
0.5200000000,0.9500000000,0.0091407872
0.5500000000,0.9500000000,0.0090646264
0.5800000000,0.9500000000,0.0089809546
0.6100000000,0.9500000000,0.0088919671
0.6400000000,0.9500000000,0.0087999994
0.6700000000,0.9500000000,0.0087073615
0.7000000000,0.9500000000,0.0086161607
0.7300000000,0.9500000000,0.0085281434
0.7600000000,0.9500000000,0.0084445840
0.7900000000,0.9500000000,0.0083662498
0.8200000000,0.9500000000,0.0082934138
0.8500000000,0.9500000000,0.0082259450
0.2500000000,0.9700000000,0.0093427147
0.2800000000,0.9700000000,0.0094043916
0.3100000000,0.9700000000,0.0094497079
0.3400000000,0.9700000000,0.0094801759
0.3700000000,0.9700000000,0.0094969457
0.4000000000,0.9700000000,0.0095009359
0.4300000000,0.9700000000,0.0094929490
0.4600000000,0.9700000000,0.0094737751
0.4900000000,0.9700000000,0.0094442817
0.5200000000,0.9700000000,0.0094054840
0.5500000000,0.9700000000,0.0093585848
0.5800000000,0.9700000000,0.0093049766
0.6100000000,0.9700000000,0.0092462016
0.6400000000,0.9700000000,0.0091838722
0.6700000000,0.9700000000,0.0091195634
0.7000000000,0.9700000000,0.0090546964
0.7300000000,0.9700000000,0.0089904336
0.7600000000,0.9700000000,0.0089276111
0.7900000000,0.9700000000,0.0088667015
0.8200000000,0.9700000000,0.0088078352
0.8500000000,0.9700000000,0.0087508596
