kappa,rho,delta_min
0.2500000000,0.8800000000,0.0091820806
0.2800000000,0.8800000000,0.0092107922
0.3100000000,0.8800000000,0.0092204600
0.3400000000,0.8800000000,0.0092121226
0.3700000000,0.8800000000,0.0091865173
0.4000000000,0.8800000000,0.0091442518
0.4300000000,0.8800000000,0.0090859679
0.4600000000,0.8800000000,0.0090124989
0.4900000000,0.8800000000,0.0089250096
0.5200000000,0.8800000000,0.0088251019
0.5500000000,0.8800000000,0.0087148683
0.5800000000,0.8800000000,0.0085968714
0.6100000000,0.8800000000,0.0084740421
0.6400000000,0.8800000000,0.0083495040
0.6700000000,0.8800000000,0.0082263446
0.7000000000,0.8800000000,0.0081073743
0.7300000000,0.8800000000,0.0079949137
0.7600000000,0.8800000000,0.0078906484
0.7900000000,0.8800000000,0.0077955823
0.8200000000,0.8800000000,0.0077100630
0.8500000000,0.8800000000,0.0076339006
0.2500000000,0.9000000000,0.0092605357
0.2800000000,0.9000000000,0.0093090078
0.3100000000,0.9000000000,0.0093397181
0.3400000000,0.9000000000,0.0093539617
0.3700000000,0.9000000000,0.0093526882
0.4000000000,0.9000000000,0.0093366529
0.4300000000,0.9000000000,0.0093065580
0.4600000000,0.9000000000,0.0092631837
0.4900000000,0.9000000000,0.0092075059
0.5200000000,0.9000000000,0.0091407872
0.5500000000,0.9000000000,0.0090646264
0.5800000000,0.9000000000,0.0089809546
0.6100000000,0.9000000000,0.0088919671
0.6400000000,0.9000000000,0.0087999994
0.6700000000,0.9000000000,0.0087073615
0.7000000000,0.9000000000,0.0086161607
0.7300000000,0.9000000000,0.0085281434
0.7600000000,0.9000000000,0.0084445840
0.7900000000,0.9000000000,0.0083662498
0.8200000000,0.9000000000,0.0082934138
0.8500000000,0.9000000000,0.0082259450
0.2500000000,0.9200000000,0.0093074707
0.2800000000,0.9200000000,0.0093734741
0.3100000000,0.9200000000,0.0094227406
0.3400000000,0.9200000000,0.0094568181
0.3700000000,0.9200000000,0.0094768721
0.4000000000,0.9200000000,0.0094838210
0.4300000000,0.9200000000,0.0094784560
0.4600000000,0.9200000000,0.0094615506
0.4900000000,0.9200000000,0.0094339568
0.5200000000,0.9200000000,0.0093966811
0.5500000000,0.9200000000,0.0093509305
0.5800000000,0.9200000000,0.0092981181
0.6100000000,0.9200000000,0.0092398229
0.6400000000,0.9200000000,0.0091777083
0.6700000000,0.9200000000,0.0091134082
0.7000000000,0.9200000000,0.0090484035
0.7300000000,0.9200000000,0.0089839079
0.7600000000,0.9200000000,0.0089207974
0.7900000000,0.9200000000,0.0088595657
0.8200000000,0.9200000000,0.0088003504
0.8500000000,0.9200000000,0.0087429913
