kappa,wedge,delta_min
0.2500000000,0.3500000000,0.0092605357
0.2800000000,0.3500000000,0.0093090078
0.3100000000,0.3500000000,0.0093397181
0.3400000000,0.3500000000,0.0093539617
0.3700000000,0.3500000000,0.0093526882
0.4000000000,0.3500000000,0.0093366529
0.4300000000,0.3500000000,0.0093065580
0.4600000000,0.3500000000,0.0092631837
0.4900000000,0.3500000000,0.0092075059
0.5200000000,0.3500000000,0.0091407872
0.5500000000,0.3500000000,0.0090646264
0.5800000000,0.3500000000,0.0089809546
0.6100000000,0.3500000000,0.0088919671
0.6400000000,0.3500000000,0.0087999994
0.6700000000,0.3500000000,0.0087073615
0.7000000000,0.3500000000,0.0086161607
0.7300000000,0.3500000000,0.0085281434
0.7600000000,0.3500000000,0.0084445840
0.7900000000,0.3500000000,0.0083662498
0.8200000000,0.3500000000,0.0082934138
0.8500000000,0.3500000000,0.0082259450
0.2500000000,0.4000000000,0.0093437938
0.2800000000,0.4000000000,0.0094149922
0.3100000000,0.4000000000,0.0094689777
0.3400000000,0.4000000000,0.0095075020
0.3700000000,0.4000000000,0.0095319271
0.4000000000,0.4000000000,0.0095433611
0.4300000000,0.4000000000,0.0095427742
0.4600000000,0.4000000000,0.0095310982
0.4900000000,0.4000000000,0.0095093087
0.5200000000,0.4000000000,0.0094784846
0.5500000000,0.4000000000,0.0094398378
0.5800000000,0.4000000000,0.0093947086
0.6100000000,0.4000000000,0.0093445241
0.6400000000,0.4000000000,0.0092907262
0.6700000000,0.4000000000,0.0092346778
0.7000000000,0.4000000000,0.0091775653
0.7300000000,0.4000000000,0.0091203128
0.7600000000,0.4000000000,0.0090635303
0.7900000000,0.4000000000,0.0090074886
0.8200000000,0.4000000000,0.0089521435
0.8500000000,0.4000000000,0.0088971929
0.2500000000,0.4500000000,0.0093729319
0.2800000000,0.4500000000,0.0094643422
0.3100000000,0.4500000000,0.0095385551
0.3400000000,0.4500000000,0.0095977139
0.3700000000,0.4500000000,0.0096435247
0.4000000000,0.4500000000,0.0096773854
0.4300000000,0.4500000000,0.0097004890
0.4600000000,0.4500000000,0.0097139054
0.4900000000,0.4500000000,0.0097186453
0.5200000000,0.4500000000,0.0097157035
0.5500000000,0.4500000000,0.0097060807
0.5800000000,0.4500000000,0.0096907810
0.6100000000,0.4500000000,0.0096707879
0.6400000000,0.4500000000,0.0096470196
0.6700000000,0.4500000000,0.0096202742
0.7000000000,0.4500000000,0.0095911742
0.7300000000,0.4500000000,0.0095601147
0.7600000000,0.4500000000,0.0095272334
0.7900000000,0.4500000000,0.0094924009
0.8200000000,0.4500000000,0.0094552380
0.8500000000,0.4500000000,0.0094151588
